Station,Lat,Lon,Divisions,Year,Count,Type
Dunmore,53.6176,-8.7406,Galway,2003,8,Theft
Dunshaughlin,53.5108,-6.5393,Meath,2003,73,Theft
Durrow,52.8443,-7.3961,Laois/Offaly,2003,18,Theft
Durrus,51.6205,-9.524,Cork West,2003,3,Theft
Edenderry,53.3368,-7.0608,Laois/Offaly,2003,70,Theft
Edgeworthstown,53.6956,-7.606,Roscommon/Longford,2003,48,Theft
Elphin,53.8458,-8.1925,Roscommon/Longford,2003,5,Theft
Emly,52.4651,-8.3542,Tipperary,2003,4,Theft
Emyvale,54.3394,-6.9576,Cavan/Monaghan,2003,50,Theft
Enfield,53.4151,-6.8339,Meath,2003,47,Theft
Ennis,52.8469,-8.9811,Clare,2003,470,Theft
Enniscorthy,52.5007,-6.5707,Wexford,2003,177,Theft
Enniscrone,54.2138,-9.0885,Sligo/Leitrim,2003,23,Theft
Enniskerry,53.1913,-6.1695,Wicklow,2003,82,Theft
Ennistymon,52.9374,-9.2885,Clare,2003,71,Theft
Eyrecourt,53.1994,-8.1324,Galway,2003,1,Theft
Farranfore,52.1714,-9.5497,Kerry,2003,11,Theft
Ferbane,53.2708,-7.8276,Laois/Offaly,2003,34,Theft
Fermoy,52.1385,-8.2742,Cork North,2003,101,Theft
Ferns,52.591,-6.4978,Wexford,2003,17,Theft
Ferrybank,52.2675,-7.1011,Waterford,2003,34,Theft
Fethard,52.4664,-7.6944,Tipperary,2003,22,Theft
Finglas,53.3896,-6.3068,D.M.R. Western,2003,706,Theft
Fitzgibbon Street,53.3577,-6.2554,D.M.R. North Central,2003,1037,Theft
Foxford,53.9833,-9.1084,Mayo,2003,16,Theft
Foynes,52.6097,-9.1037,Limerick,2003,15,Theft
Frenchpark,53.8692,-8.4056,Roscommon/Longford,2003,12,Theft
Freshford,52.7324,-7.3944,Kilkenny/Carlow,2003,4,Theft
Gaillimh,53.2713,-9.0583,Galway,2003,1388,Theft
Garristown,53.5671,-6.3839,D.M.R. Northern,2003,18,Theft
Glanmire,51.9184,-8.3968,Cork City,2003,127,Theft
Glantaine,52.1047,-8.7488,Cork North,2003,10,Theft
Glasson,53.4717,-7.8635,Westmeath,2003,30,Theft
Gleann na Muaidhe,54.2408,-9.6788,Mayo,2003,4,Theft
Glenamaddy,53.6074,-8.5602,Galway,2003,8,Theft
Glenbeigh,52.0571,-9.9371,Kerry,2003,3,Theft
Glengarriff,51.7506,-9.5507,Cork West,2003,14,Theft
Glenmore,52.3538,-7.028,Kilkenny/Carlow,2003,3,Theft
Glin,52.5696,-9.2845,Limerick,2003,3,Theft
Glynn,52.3728,-6.5829,Wexford,2003,6,Theft
Gob an Choire,53.9337,-9.9185,Mayo,2003,4,Theft
Golden,52.4968,-7.9847,Tipperary,2003,10,Theft
Goresbridge,52.63,-6.9944,Kilkenny/Carlow,2003,8,Theft
Gorey,52.675,-6.2973,Wexford,2003,147,Theft
Gort,53.0674,-8.8182,Galway,2003,53,Theft
Graiguenamanagh,52.5425,-6.9568,Kilkenny/Carlow,2003,30,Theft
Granard,53.7786,-7.4942,Roscommon/Longford,2003,54,Theft
Grange,54.3934,-8.5207,Sligo/Leitrim,2003,27,Theft
Greystones,53.148,-6.0632,Wicklow,2003,246,Theft
Gurranabraher,51.9034,-8.4966,Cork City,2003,255,Theft
Gurteen,53.993,-8.5158,Sligo/Leitrim,2003,7,Theft
Hackballscross,54.0316,-6.5242,Louth,2003,15,Theft
Hacketstown,52.8643,-6.557,Kilkenny/Carlow,2003,9,Theft
Headford,53.4703,-9.0983,Galway,2003,11,Theft
Henry Street,52.6617,-8.6316,Limerick,2003,1750,Theft
Holycross,52.6426,-7.8729,Tipperary,2003,6,Theft
Hospital Co Limerick,52.4752,-8.4325,Limerick,2003,10,Theft
Howth,53.3873,-6.069,D.M.R. Northern,2003,351,Theft
Indreabhan,53.2406,-9.4296,Galway,2003,10,Theft
Innishannon,51.7644,-8.6554,Cork West,2003,12,Theft
Irishtown,53.3382,-6.2233,D.M.R. South Central,2003,591,Theft
Kanturk,52.1759,-8.9126,Cork West,2003,37,Theft
