Station,Lat,Lon,Divisions,Year,Count,Type
Drimoleague,51.659,-9.264,Cork West,2007,10,Public Order
Drinagh,51.6477,-9.1545,Cork West,2007,1,Public Order
Drogheda,53.7151,-6.3566,Louth,2007,584,Public Order
Drumad,54.0957,-6.3608,Louth,2007,22,Public Order
Drumcollogher,52.3382,-8.9113,Limerick,2007,6,Public Order
Drumlish,53.8217,-7.7659,Roscommon/Longford,2007,8,Public Order
Drumshambo,54.0465,-8.04,Sligo/Leitrim,2007,52,Public Order
Dublin Airport,53.4299,-6.2455,D.M.R. Northern,2007,137,Public Order
Duleek,53.6539,-6.4181,Meath,2007,16,Public Order
Dun Fionnachaid,55.1829,-7.9744,Donegal,2007,4,Public Order
Dun Laoghaire,53.2899,-6.1333,D.M.R. Eastern,2007,983,Public Order
Dunboyne,53.4211,-6.4771,Meath,2007,47,Public Order
Duncannon,52.2214,-6.9298,Wexford,2007,8,Public Order
Dundalk,53.9995,-6.4097,Louth,2007,597,Public Order
Dundrum,53.2895,-6.2426,D.M.R. Eastern,2007,437,Public Order
Dungarvan,52.0877,-7.6245,Waterford,2007,316,Public Order
Dunlavin,53.0588,-6.7011,Wicklow,2007,6,Public Order
Dunleer,53.8285,-6.3946,Louth,2007,21,Public Order
Dunmanway,51.7228,-9.1101,Cork West,2007,99,Public Order
Dunmore East,52.1484,-6.9929,Waterford,2007,33,Public Order
Dunmore,53.6176,-8.7406,Galway,2007,10,Public Order
Dunshaughlin,53.5108,-6.5393,Meath,2007,51,Public Order
Durrow,52.8443,-7.3961,Laois/Offaly,2007,16,Public Order
Durrus,51.6205,-9.524,Cork West,2007,4,Public Order
Edenderry,53.3368,-7.0608,Laois/Offaly,2007,90,Public Order
Edgeworthstown,53.6956,-7.606,Roscommon/Longford,2007,42,Public Order
Elphin,53.8458,-8.1925,Roscommon/Longford,2007,3,Public Order
Emly,52.4651,-8.3542,Tipperary,2007,7,Public Order
Emyvale,54.3394,-6.9576,Cavan/Monaghan,2007,19,Public Order
Enfield,53.4151,-6.8339,Meath,2007,29,Public Order
Ennis,52.8469,-8.9811,Clare,2007,686,Public Order
Enniscorthy,52.5007,-6.5707,Wexford,2007,337,Public Order
Enniscrone,54.2138,-9.0885,Sligo/Leitrim,2007,12,Public Order
Enniskerry,53.1913,-6.1695,Wicklow,2007,15,Public Order
Ennistymon,52.9374,-9.2885,Clare,2007,122,Public Order
Eyrecourt,53.1994,-8.1324,Galway,2007,1,Public Order
Farranfore,52.1714,-9.5497,Kerry,2007,5,Public Order
Ferbane,53.2708,-7.8276,Laois/Offaly,2007,21,Public Order
Fermoy,52.1385,-8.2742,Cork North,2007,254,Public Order
Ferns,52.591,-6.4978,Wexford,2007,29,Public Order
Ferrybank,52.2675,-7.1011,Waterford,2007,35,Public Order
Fethard,52.4664,-7.6944,Tipperary,2007,25,Public Order
Finglas,53.3896,-6.3068,D.M.R. Western,2007,446,Public Order
Fitzgibbon Street,53.3577,-6.2554,D.M.R. North Central,2007,420,Public Order
Foxford,53.9833,-9.1084,Mayo,2007,21,Public Order
Foynes,52.6097,-9.1037,Limerick,2007,16,Public Order
Frenchpark,53.8692,-8.4056,Roscommon/Longford,2007,13,Public Order
Freshford,52.7324,-7.3944,Kilkenny/Carlow,2007,4,Public Order
Gaillimh,53.2713,-9.0583,Galway,2007,1711,Public Order
Garristown,53.5671,-6.3839,D.M.R. Northern,2007,0,Public Order
Glanmire,51.9184,-8.3968,Cork City,2007,167,Public Order
Glantaine,52.1047,-8.7488,Cork North,2007,6,Public Order
Glasson,53.4717,-7.8635,Westmeath,2007,4,Public Order
Gleann na Muaidhe,54.2408,-9.6788,Mayo,2007,20,Public Order
Glenamaddy,53.6074,-8.5602,Galway,2007,7,Public Order
Glenbeigh,52.0571,-9.9371,Kerry,2007,7,Public Order
Glengarriff,51.7506,-9.5507,Cork West,2007,3,Public Order
Glenmore,52.3538,-7.028,Kilkenny/Carlow,2007,2,Public Order
Glin,52.5696,-9.2845,Limerick,2007,4,Public Order
Glynn,52.3728,-6.5829,Wexford,2007,2,Public Order
Gob an Choire,53.9337,-9.9185,Mayo,2007,1,Public Order
Golden,52.4968,-7.9847,Tipperary,2007,1,Public Order
Goresbridge,52.63,-6.9944,Kilkenny/Carlow,2007,10,Public Order
Gorey,52.675,-6.2973,Wexford,2007,208,Public Order
Gort,53.0674,-8.8182,Galway,2007,76,Public Order
Graiguenamanagh,52.5425,-6.9568,Kilkenny/Carlow,2007,8,Public Order
Granard,53.7786,-7.4942,Roscommon/Longford,2007,22,Public Order
Grange,54.3934,-8.5207,Sligo/Leitrim,2007,6,Public Order
Greystones,53.148,-6.0632,Wicklow,2007,174,Public Order
Gurranabraher,51.9034,-8.4966,Cork City,2007,407,Public Order
Gurteen,53.993,-8.5158,Sligo/Leitrim,2007,5,Public Order
Hackballscross,54.0316,-6.5242,Louth,2007,3,Public Order
Hacketstown,52.8643,-6.557,Kilkenny/Carlow,2007,10,Public Order
Headford,53.4703,-9.0983,Galway,2007,6,Public Order
Henry Street,52.6617,-8.6316,Limerick,2007,893,Public Order
Holycross,52.6426,-7.8729,Tipperary,2007,28,Public Order
Hospital Co Limerick,52.4752,-8.4325,Limerick,2007,11,Public Order
Howth,53.3873,-6.069,D.M.R. Northern,2007,147,Public Order
Indreabhan,53.2406,-9.4296,Galway,2007,12,Public Order
Innishannon,51.7644,-8.6554,Cork West,2007,4,Public Order
Irishtown,53.3382,-6.2233,D.M.R. South Central,2007,172,Public Order
Kanturk,52.1759,-8.9126,Cork West,2007,74,Public Order
Keadue,54.0506,-8.1373,Roscommon/Longford,2007,1,Public Order
Kealkil,51.755,-9.3753,Cork West,2007,1,Public Order
Keel,53.9754,-10.0822,Mayo,2007,13,Public Order
Kells Ceanannus Mor,53.7284,-6.8812,Meath,2007,148,Public Order
Kenagh,53.622,-7.8151,Roscommon/Longford,2007,3,Public Order
Kenmare,51.8785,-9.5816,Kerry,2007,90,Public Order
Kerrykeel,55.1371,-7.6663,Donegal,2007,16,Public Order
Kevin Street,53.339,-6.2702,D.M.R. South Central,2007,853,Public Order
Kilbeggan,53.3685,-7.4992,Westmeath,2007,12,Public Order
Kilbrittain,51.6735,-8.6901,Cork West,2007,5,Public Order
Kilcock,53.4038,-6.6725,Kildare,2007,41,Public Order
Kilconnell,53.3314,-8.4017,Galway,2007,70,Public Order
Kilcormac,53.1762,-7.7288,Laois/Offaly,2007,7,Public Order
Kilcullen,53.1291,-6.7466,Kildare,2007,60,Public Order
Kildare,53.156000000000006,-6.9073,Kildare,2007,146,Public Order
Kildorrery,52.2454,-8.4296,Cork North,2007,7,Public Order
Kildysart,52.6746,-9.1058,Clare,2007,5,Public Order
Kilkee,52.6824,-9.6447,Clare,2007,142,Public Order
Kilkelly,53.8734,-8.8434,Mayo,2007,5,Public Order
Kilkenny,52.6524,-7.2597,Kilkenny/Carlow,2007,783,Public Order
Kill Co Waterford,52.1773,-7.3351,Waterford,2007,15,Public Order
Killala,54.2141,-9.2205,Mayo,2007,3,Public Order
Killaloe,52.8067,-8.4437,Clare,2007,41,Public Order
Killarney,52.0624,-9.5124,Kerry,2007,468,Public Order
Killeagh,51.9398,-7.995,Cork North,2007,21,Public Order
Killenaule,52.5685,-7.6728,Tipperary,2007,50,Public Order
Killeshandra,54.0118,-7.5259,Cavan/Monaghan,2007,4,Public Order
Killimor,53.1659,-8.2942,Galway,2007,4,Public Order
Killorglin,52.1065,-9.7871,Kerry,2007,99,Public Order
Killucan,53.5147,-7.1397,Westmeath,2007,8,Public Order
Kilmacow,52.3146,-7.1748,Kilkenny/Carlow,2007,4,Public Order
Kilmacrennan,55.0295,-7.7785,Donegal,2007,12,Public Order
Kilmacthomas,52.2062,-7.4213,Waterford,2007,21,Public Order
Kilmaine,53.5826,-9.1238,Mayo,2007,5,Public Order
Kilmainham,53.3419,-6.3043,D.M.R. South Central,2007,527,Public Order
Kilmallock,52.3984,-8.5758,Limerick,2007,127,Public Order
Kilmeaden,52.2462,-7.245,Waterford,2007,4,Public Order
Kilmoganny,52.4609,-7.3293,Kilkenny/Carlow,2007,1,Public Order
Kilmore Quay,52.1787,-6.5837,Wexford,2007,3,Public Order
Kilnaleck,53.8585,-7.3179,Cavan/Monaghan,2007,8,Public Order
Kilrickle,53.2302,-8.4524,Galway,2007,5,Public Order
Kilrush,52.6411,-9.4811,Clare,2007,81,Public Order
Kilsheelan,52.3615,-7.5798,Tipperary,2007,6,Public Order
Kiltimagh,53.8461,-9.0058,Mayo,2007,8,Public Order
Kiltormer,53.2376,-8.2713,Galway,2007,1,Public Order
Kilworth,52.1763,-8.2496,Cork North,2007,4,Public Order
Kingscourt,53.9043,-6.8068,Cavan/Monaghan,2007,51,Public Order
Kinlough,54.4458,-8.287,Sligo/Leitrim,2007,1,Public Order
Kinnegad,53.4559,-7.1028,Westmeath,2007,41,Public Order
Kinnitty,53.0984,-7.7221,Laois/Offaly,2007,3,Public Order
Kinsale,51.7063,-8.5255,Cork West,2007,201,Public Order
Kinvara,53.1405,-8.9397,Galway,2007,6,Public Order
Knock,53.7954,-8.9188,Mayo,2007,3,Public Order
Knocknagoshel,52.3307,-9.3853,Kerry,2007,24,Public Order
Lanesboro,53.67100000000001,-7.9853,Roscommon/Longford,2007,3,Public Order
Laytown,53.6892,-6.244,Meath,2007,67,Public Order
Leach Seoirse,53.3571,-8.9313,Galway,2007,12,Public Order
Leamybrien,52.1693,-7.5216,Waterford,2007,4,Public Order
Leitir Mor,53.2943,-9.6551,Galway,2007,4,Public Order
Leixlip,53.3674,-6.4982,Kildare,2007,177,Public Order
Letterfrack,53.5542,-9.9477,Galway,2007,3,Public Order
Letterkenny,54.9547,-7.7364,Donegal,2007,1060,Public Order
Lifford,54.8328,-7.4803,Donegal,2007,21,Public Order
Liscarroll,52.2596,-8.8063,Cork North,2007,1,Public Order
Lisdoonvarna,53.0286,-9.2897,Clare,2007,42,Public Order
Lismore,52.1367,-7.9355,Waterford,2007,36,Public Order
Lissycasey,52.7461,-9.1544,Clare,2007,7,Public Order
Listowel,52.4471,-9.4839,Kerry,2007,307,Public Order
Littleton,52.6407,-7.7349,Tipperary,2007,17,Public Order
Lixnaw,52.4041,-9.6166,Kerry,2007,14,Public Order
Longford,53.7325,-7.8014,Roscommon/Longford,2007,193,Public Order
Longwood,53.4546,-6.9270000000000005,Meath,2007,8,Public Order
Lorrha,53.0937,-8.1221,Tipperary,2007,3,Public Order
Loughrea,53.1974,-8.5699,Galway,2007,138,Public Order
Louisburgh,53.7646,-9.8076,Mayo,2007,3,Public Order
Louth,53.9524,-6.5379,Louth,2007,6,Public Order
Lucan,53.3561,-6.4507,D.M.R. Western,2007,177,Public Order
Lusk,53.5234,-6.1673,D.M.R. Northern,2007,77,Public Order
Macroom,51.9063,-8.964,Cork West,2007,130,Public Order
Maigh Cuilinn,53.3383,-9.1812,Galway,2007,13,Public Order
Malahide,53.4512,-6.1519,D.M.R. Northern,2007,323,Public Order
Mallow,52.1388,-8.6459,Cork North,2007,342,Public Order
Manorhamilton,54.3044,-8.1785,Sligo/Leitrim,2007,52,Public Order
Mayfield,51.9097,-8.429,Cork City,2007,175,Public Order
Maynooth,53.3808,-6.5927,Kildare,2007,115,Public Order
Mayorstone Park,52.6737,-8.6448,Limerick,2007,434,Public Order
Midleton,51.9167,-8.1735,Cork North,2007,196,Public Order
Milford Co Cork,52.3425,-8.8564,Cork North,2007,2,Public Order
Milford,55.086999999999996,-7.6982,Donegal,2007,36,Public Order
Millstreet Co. Cork,52.0601,-9.0615,Cork West,2007,26,Public Order
Milltown,53.6116,-8.8975,Galway,2007,1,Public Order
Miltown Malbay,52.8575,-9.4006,Clare,2007,24,Public Order
Mitchelstown,52.2636,-8.2706,Cork North,2007,91,Public Order
Moate,53.3957,-7.7345,Westmeath,2007,17,Public Order
Mohill,53.9208,-7.8681,Sligo/Leitrim,2007,44,Public Order
Monaghan,54.2514,-6.9675,Cavan/Monaghan,2007,348,Public Order
Monasterevin,53.1382,-7.0547,Kildare,2007,30,Public Order
Moneygall,52.8813,-7.9534,Tipperary,2007,1,Public Order
Monivea,53.373999999999995,-8.7023,Galway,2007,12,Public Order
Mooncoin,52.292,-7.2516,Kilkenny/Carlow,2007,6,Public Order
Mountbellew,53.4712,-8.5001,Galway,2007,37,Public Order
Mountcharles,54.6459,-8.1957,Donegal,2007,10,Public Order
Mountjoy,53.3605,-6.2668,D.M.R. North Central,2007,430,Public Order
Mountmellick,53.1188,-7.3351,Laois/Offaly,2007,40,Public Order
Mountrath,52.9982,-7.4781,Laois/Offaly,2007,25,Public Order
Moville,55.1916,-7.0286,Donegal,2007,41,Public Order
Moylough,53.4877,-8.567,Galway,2007,1,Public Order
Moyne,52.7343,-7.7141,Tipperary,2007,3,Public Order
Muff,55.0686,-7.2688,Donegal,2007,19,Public Order
Muine Bheag,52.7013,-6.9574,Kilkenny/Carlow,2007,102,Public Order
Mullagh,53.8111,-6.9432,Cavan/Monaghan,2007,5,Public Order
Mullinahone,52.5102,-7.5056,Tipperary,2007,14,Public Order
Mullinavat,52.3664,-7.1721,Kilkenny/Carlow,2007,1,Public Order
Mullingar,53.5257,-7.346,Westmeath,2007,411,Public Order
Multyfarnham,53.6242,-7.3923,Westmeath,2007,1,Public Order
Murroe,52.6497,-8.3992,Limerick,2007,10,Public Order
Myshall,52.6875,-6.7784,Kilkenny/Carlow,2007,2,Public Order
Na Cealla Beaga,54.6366,-8.4444,Donegal,2007,41,Public Order
Na Gleannta,54.7955,-8.281,Donegal,2007,148,Public Order
Naas,53.2107,-6.666,Kildare,2007,625,Public Order
Navan,53.6545,-6.6904,Meath,2007,315,Public Order
Nenagh,52.8643,-8.1996,Tipperary,2007,199,Public Order
New Ross,52.3876,-6.9508,Wexford,2007,292,Public Order
Newbridge,53.1814,-6.7955,Kildare,2007,227,Public Order
Newcastle West,52.4537,-9.0624,Limerick,2007,153,Public Order
Newmarket,52.2146,-8.997,Cork West,2007,41,Public Order
Newmarket on Fergus,52.7632,-8.8991,Clare,2007,29,Public Order
Newport Co Mayo,53.8902,-9.5467,Mayo,2007,8,Public Order
Newport Co Tipperary,52.7107,-8.4063,Tipperary,2007,16,Public Order
Newtowncunningham,54.9976,-7.5078,Donegal,2007,20,Public Order
Newtownmountkennedy,53.0969,-6.1094,Wicklow,2007,25,Public Order
Nobber,53.821000000000005,-6.7466,Meath,2007,7,Public Order
Oldcastle,53.7693,-7.1619,Meath,2007,38,Public Order
Omeath,54.0865,-6.2563,Louth,2007,10,Public Order
Oola,52.53,-8.2597,Limerick,2007,3,Public Order
Oughterard,53.4274,-9.3245,Galway,2007,11,Public Order
Oulart,52.5033,-6.3913,Wexford,2007,8,Public Order
Oylegate,52.4241,-6.5296,Wexford,2007,11,Public Order
Pallasgreen,52.5687,-8.3382,Limerick,2007,8,Public Order
Pallaskenry,52.6405,-8.8665,Limerick,2007,15,Public Order
Partry,53.6987,-9.2796,Mayo,2007,1,Public Order
Passage East,52.2392,-6.9728,Waterford,2007,6,Public Order
Passage West,51.8652,-8.3317,Cork City,2007,72,Public Order
Patrickswell,52.5958,-8.7129,Limerick,2007,13,Public Order
Pearse Street,53.3457,-6.2563,D.M.R. South Central,2007,2553,Public Order
Pettigo,54.5482,-7.8349,Donegal,2007,1,Public Order
Piltown,52.3498,-7.3255,Kilkenny/Carlow,2007,2,Public Order
Portarlington,53.1592,-7.1878,Laois/Offaly,2007,85,Public Order
Portlaoise,53.0317,-7.3031,Laois/Offaly,2007,208,Public Order
Portlaw,52.2863,-7.3176,Waterford,2007,30,Public Order
Portmagee,51.8852,-10.3618,Kerry,2007,5,Public Order
Portroe,52.8819,-8.3537,Tipperary,2007,4,Public Order
Portumna,53.09,-8.2204,Galway,2007,16,Public Order
Raheny,53.379,-6.178,D.M.R. Northern,2007,174,Public Order
Ramelton,55.0367,-7.6507,Donegal,2007,8,Public Order
Raphoe,54.8744,-7.5944,Donegal,2007,31,Public Order
Rathangan,53.2221,-6.9975,Kildare,2007,62,Public Order
Rathcoole,53.2818,-6.4647,D.M.R. Western,2007,65,Public Order
Rathcormac Co Cork,52.0761,-8.2843,Cork North,2007,24,Public Order
Rathdowney,52.8567,-7.5978,Laois/Offaly,2007,29,Public Order
Rathdrum,52.931000000000004,-6.2265,Wicklow,2007,22,Public Order
Rathfarnham,53.2974,-6.2881,D.M.R. Southern,2007,483,Public Order
Rathgormack,52.3075,-7.5038,Waterford,2007,3,Public Order
Rathkeale,52.5234,-8.939,Limerick,2007,10,Public Order
Rathmines,53.3213,-6.267,D.M.R. Southern,2007,424,Public Order
Rathmore Co Kerry,52.0843,-9.2142,Kerry,2007,10,Public Order
Rathmullen,55.0958,-7.5326,Donegal,2007,4,Public Order
Rathvilly,52.8804,-6.6954,Kilkenny/Carlow,2007,8,Public Order
Rhode,53.3511,-7.1948,Laois/Offaly,2007,4,Public Order
Riverstown,54.1296,-8.4,Sligo/Leitrim,2007,3,Public Order
Robertstown,53.2702,-6.8164,Kildare,2007,19,Public Order
Rochfortbridge,53.4133,-7.3018,Westmeath,2007,26,Public Order
Rockcorry,54.1202,-7.0094,Cavan/Monaghan,2007,1,Public Order
Ronanstown,53.3379,-6.406000000000001,D.M.R. Western,2007,312,Public Order
Roosky,53.8329,-7.9228,Roscommon/Longford,2007,2,Public Order
Ros Muc,53.3864,-9.6099,Galway,2007,0,Public Order
Roscommon,53.6298,-8.1936,Roscommon/Longford,2007,187,Public Order
Roscrea,52.9562,-7.7988,Tipperary,2007,163,Public Order
Rosscarbery,51.5776,-9.0315,Cork West,2007,9,Public Order
Rosses Point,54.3054,-8.5465,Sligo/Leitrim,2007,1,Public Order
Rosslare Harbour,52.2487,-6.3341,Wexford,2007,11,Public Order
Rosslare Strand,52.2696,-6.3848,Wexford,2007,6,Public Order
Roundwood,53.063,-6.2247,Wicklow,2007,3,Public Order
Roxboro Road,52.6508,-8.615,Limerick,2007,508,Public Order
Santry,53.3897,-6.2516,D.M.R. Northern,2007,384,Public Order
Scariff,52.9068,-8.5348,Clare,2007,18,Public Order
Schull,51.5287,-9.5414,Cork West,2007,5,Public Order
Scotstown,54.2803,-7.0636,Cavan/Monaghan,2007,8,Public Order
Shankill,53.2335,-6.121,D.M.R. Eastern,2007,306,Public Order
Shannon,52.7079,-8.8772,Clare,2007,284,Public Order
Shercock,53.9922,-6.9008,Cavan/Monaghan,2007,20,Public Order
Shevry,52.6869,-8.0471,Tipperary,2007,9,Public Order
Shillelagh,52.7546,-6.5375,Wicklow,2007,1,Public Order
Shinrone,52.9847,-7.9341,Laois/Offaly,2007,12,Public Order
Shrule,53.5199,-9.0876,Mayo,2007,3,Public Order
Sixmilebridge,52.7401,-8.7779,Clare,2007,21,Public Order
Skerries,53.5796,-6.107,D.M.R. Northern,2007,47,Public Order
Skibbereen,51.5486,-9.2641,Cork West,2007,134,Public Order
Skreen,54.2446,-8.7204,Sligo/Leitrim,2007,1,Public Order
Slane,53.7097,-6.5475,Meath,2007,10,Public Order
Sligo,54.2693,-8.4713,Sligo/Leitrim,2007,600,Public Order
Smear,53.8606,-7.6017,Roscommon/Longford,2007,2,Public Order
Sneem,51.8389,-9.904,Kerry,2007,0,Public Order
Sraith Salach,53.4653,-9.7214,Galway,2007,0,Public Order
Stoneyford,52.5364,-7.2286,Kilkenny/Carlow,2007,5,Public Order
Store Street,53.3505,-6.2522,D.M.R. North Central,2007,1854,Public Order
Stradbally Co Laois,53.0177,-7.1516,Laois/Offaly,2007,7,Public Order
Strokestown,53.7808,-8.1038,Roscommon/Longford,2007,5,Public Order
Stuake,51.9905,-8.7604,Cork West,2007,4,Public Order
Summerhill,53.482,-6.7334,Meath,2007,11,Public Order
Sundrive Road,53.3302,-6.2987,D.M.R. Southern,2007,288,Public Order
Swanlinbar,54.1961,-7.7038,Cavan/Monaghan,2007,6,Public Order
Swinford,53.9406,-8.9522,Mayo,2007,56,Public Order
Swords,53.456,-6.2211,D.M.R. Northern,2007,544,Public Order
Taghmon,52.321999999999996,-6.6517,Wexford,2007,19,Public Order
Tallaght,53.2868,-6.3678,D.M.R. Southern,2007,1077,Public Order
Tallow,52.0937,-8.0073,Waterford,2007,5,Public Order
Tarbert,52.5727,-9.3754,Kerry,2007,15,Public Order
Tarelton,51.8385,-8.9929,Cork West,2007,2,Public Order
Taughmaconnell,53.4032,-8.141,Roscommon/Longford,2007,0,Public Order
Templederry,52.7741,-8.075,Tipperary,2007,1,Public Order
Templemore,52.7966,-7.8351,Tipperary,2007,122,Public Order
Templetuohy,52.7903,-7.7201,Tipperary,2007,3,Public Order
Terenure,53.3098,-6.287999999999999,D.M.R. Southern,2007,156,Public Order
Thomastown,52.528999999999996,-7.14,Kilkenny/Carlow,2007,34,Public Order
Thurles,52.6757,-7.8119,Tipperary,2007,843,Public Order
Timoleague,51.6427,-8.7663,Cork West,2007,19,Public Order
Tinahely,52.7967,-6.4693,Wicklow,2007,5,Public Order
Tipperary,52.4761,-8.1629,Tipperary,2007,167,Public Order
Togher,51.8764,-8.4863,Cork City,2007,231,Public Order
Toomevara,52.8497,-8.0365,Tipperary,2007,3,Public Order
Tralee,52.2695,-9.7088,Kerry,2007,909,Public Order
Tramore,52.1615,-7.1534,Waterford,2007,359,Public Order
Trim,53.5531,-6.7893,Meath,2007,124,Public Order
Tuam,53.5157,-8.8559,Galway,2007,158,Public Order
Tubbercurry,54.0516,-8.7343,Sligo/Leitrim,2007,31,Public Order
Tulla,52.8654,-8.7548,Clare,2007,4,Public Order
Tullamore,53.2761,-7.4949,Laois/Offaly,2007,462,Public Order
Tullow,52.8038,-6.7334,Kilkenny/Carlow,2007,12,Public Order
Tulsk,53.7774,-8.2518,Roscommon/Longford,2007,6,Public Order
Urlingford,52.7221,-7.5798,Kilkenny/Carlow,2007,66,Public Order
Virginia,53.8344,-7.0819,Cavan/Monaghan,2007,47,Public Order
Watercourse Road,51.9071,-8.4745,Cork City,2007,564,Public Order
Waterford,52.2602,-7.1137,Waterford,2007,1840,Public Order
Watergrasshill,52.0134,-8.342,Cork North,2007,2,Public Order
Westport,53.7991,-9.5194,Mayo,2007,206,Public Order
Wexford,52.3355,-6.462000000000001,Wexford,2007,491,Public Order
Whitegate,51.8271,-8.2278,Cork North,2007,7,Public Order
Wicklow,52.9814,-6.0426,Wicklow,2007,273,Public Order
Williamstown,53.6771,-8.5784,Galway,2007,1,Public Order
Woodford,53.0476,-8.4001,Galway,2007,0,Public Order
Youghal,51.9481,-7.8428,Cork North,2007,130,Public Order
Abbeyfeale,52.3873,-9.29,Limerick,2008,59,Public Order
Abbeyleix,52.9127,-7.3438,Laois/Offaly,2008,45,Public Order
Adare,52.5639,-8.7921,Limerick,2008,1,Public Order
Aglish,52.0716,-7.8221,Waterford,2008,3,Public Order
Ahascragh,53.3957,-8.3306,Galway,2008,4,Public Order
Ailt an Chorrain,54.9849,-8.4386,Donegal,2008,7,Public Order
An Bun Beag,55.0656,-8.2895,Donegal,2008,104,Public Order
An Charraig,54.6579,-8.6331,Donegal,2008,14,Public Order
An Cheathru Rua,53.2645,-9.6005,Galway,2008,29,Public Order
An Clochan Liath,54.9516,-8.3613,Donegal,2008,36,Public Order
An Coirean,51.8311,-10.1742,Kerry,2008,1,Public Order
An Craoslach,55.1253,-7.9126,Donegal,2008,3,Public Order
An Fál Carrach,55.137,-8.102,Donegal,2008,104,Public Order
An Maim,53.5107,-9.5649,Galway,2008,4,Public Order
An Rinn,52.0484,-7.5931,Waterford,2008,1,Public Order
An Spideal,53.2454,-9.3056,Galway,2008,13,Public Order
Anglesea Street,51.8958,-8.465,Cork City,2008,1208,Public Order
Annascaul,52.1524,-10.0525,Kerry,2008,5,Public Order
Aran Mor,53.2721,-8.9319,Galway,2008,116,Public Order
Ard An Rátha,54.7645,-8.4095,Donegal,2008,28,Public Order
Ardee,53.8549,-6.5411,Louth,2008,45,Public Order
Ardfert,52.3235,-9.7789,Kerry,2008,20,Public Order
Ardfinnan,52.3118,-7.8783,Tipperary,2008,7,Public Order
Ardmore,51.951,-7.7282,Waterford,2008,2,Public Order
Ardnacrusha,52.7077,-8.6131,Limerick,2008,44,Public Order
Ardrahan,53.1566,-8.8065,Galway,2008,4,Public Order
Arklow,52.7963,-6.1546,Wicklow,2008,210,Public Order
Arles,52.891000000000005,-7.0189,Laois/Offaly,2008,5,Public Order
Arva,53.9254,-7.5838,Cavan/Monaghan,2008,19,Public Order
Ashbourne,53.5114,-6.397,Meath,2008,171,Public Order
Ashford,53.0139,-6.1073,Wicklow,2008,42,Public Order
Askeaton,52.6006,-8.9712,Limerick,2008,20,Public Order
Athea,52.4599,-9.2875,Limerick,2008,11,Public Order
Athenry,53.2997,-8.7497,Galway,2008,21,Public Order
Athleague,53.5687,-8.2524,Roscommon/Longford,2008,4,Public Order
Athlone,53.4233,-7.9447,Westmeath,2008,557,Public Order
Athy,52.9902,-6.9882,Kildare,2008,112,Public Order
Aughrim,52.856,-6.3268,Wicklow,2008,2,Public Order
Avoca,52.8588,-6.2129,Wicklow,2008,6,Public Order
Baile Atha Bui,53.6236,-6.9159,Meath,2008,66,Public Order
Baile an Fheirtéaraigh,52.1659,-10.4062,Kerry,2008,0,Public Order
Baile Bhuirne,51.9458,-9.1692,Cork West,2008,1,Public Order
Bailieboro,53.9152,-6.9696,Cavan/Monaghan,2008,101,Public Order
Balbriggan,53.6143,-6.1912,D.M.R. Northern,2008,361,Public Order
Balla,53.8019,-9.1299,Mayo,2008,10,Public Order
Ballaghderreen,53.8999,-8.5846,Roscommon/Longford,2008,85,Public Order
Ballina,54.1129,-9.1604,Mayo,2008,298,Public Order
Ballinagh,53.9311,-7.4096,Cavan/Monaghan,2008,7,Public Order
Ballinamore,54.0546,-7.797000000000001,Sligo/Leitrim,2008,56,Public Order
Ballinasloe,53.3284,-8.2236,Galway,2008,222,Public Order
Ballincollig,51.8882,-8.5903,Cork City,2008,269,Public Order
Ballindine,53.6696,-8.9577,Mayo,2008,8,Public Order
Ballineen,51.7359,-8.9489,Cork West,2008,2,Public Order
Ballingarry,52.4721,-8.8628,Limerick,2008,12,Public Order
Ballingarry North,53.0184,-8.0305,Tipperary,2008,0,Public Order
Ballingarry South,52.586000000000006,-7.541,Tipperary,2008,17,Public Order
Ballinhassig,51.8041,-8.5705,Cork West,2008,6,Public Order
Ballinlough,53.7408,-8.6358,Roscommon/Longford,2008,9,Public Order
Ballinrobe,53.6246,-9.2262,Mayo,2008,26,Public Order
Ballintra,54.5778,-8.1254,Donegal,2008,7,Public Order
Ballivor,53.5327,-6.9672,Meath,2008,9,Public Order
Ballon,52.7432,-6.7722,Kilkenny/Carlow,2008,3,Public Order
Ballybay,54.1289,-6.9048,Cavan/Monaghan,2008,29,Public Order
Ballybofey,54.7996,-7.781000000000001,Donegal,2008,119,Public Order
Ballybunion,52.5113,-9.6702,Kerry,2008,191,Public Order
Ballyconnell,54.119,-7.5802,Cavan/Monaghan,2008,59,Public Order
Ballycotton,51.8303,-8.0131,Cork North,2008,8,Public Order
Ballycroy,54.0258,-9.8259,Mayo,2008,0,Public Order
Ballycullane,52.2789,-6.8392,Wexford,2008,3,Public Order
Ballydehob,51.5591,-9.4608,Cork West,2008,6,Public Order
Ballydesmond,52.1782,-9.231,Cork West,2008,1,Public Order
Ballyduff,52.4559,-9.6631,Kerry,2008,5,Public Order
Ballyfermot,53.3448,-6.358,D.M.R. Western,2008,670,Public Order
Ballygar,53.5219,-8.3284,Galway,2008,7,Public Order
Ballyhale,52.4683,-7.2015,Kilkenny/Carlow,2008,8,Public Order
Ballyhaunis,53.763999999999996,-8.7674,Mayo,2008,46,Public Order
Ballyheigue,52.3892,-9.8275,Kerry,2008,18,Public Order
