Station,Lat,Lon,Year,Thefts
Kevin Street,53.339,-6.2702,2003,1231
Kilbeggan,53.3685,-7.4992,2003,35
Kilbrittain,51.6735,-8.6901,2003,10
Kilcock,53.4038,-6.6725,2003,53
Kilconnell,53.3314,-8.4017,2003,4
Kilcormac,53.1762,-7.7288,2003,22
Kilcullen,53.1291,-6.7466,2003,73
Kildare,53.156000000000006,-6.9073,2003,128
Kildorrery,52.2454,-8.4296,2003,8
Kildysart,52.6746,-9.1058,2003,6
Kilkee,52.6824,-9.6447,2003,25
Kilkelly,53.8734,-8.8434,2003,7
Kilkenny,52.6524,-7.2597,2003,519
Kill Co Waterford,52.1773,-7.3351,2003,14
Killala,54.2141,-9.2205,2003,13
Killaloe,52.8067,-8.4437,2003,90
Killarney,52.0624,-9.5124,2003,269
Killeagh,51.9398,-7.995,2003,37
Killenaule,52.5685,-7.6728,2003,22
Killeshandra,54.0118,-7.5259,2003,8
Killimor,53.1659,-8.2942,2003,6
Killorglin,52.1065,-9.7871,2003,19
Killucan,53.5147,-7.1397,2003,15
Kilmacow,52.3146,-7.1748,2003,3
Kilmacrennan,55.0295,-7.7785,2003,19
Kilmacthomas,52.2062,-7.4213,2003,8
Kilmaine,53.5826,-9.1238,2003,2
Kilmainham,53.3419,-6.3043,2003,758
Kilmallock,52.3984,-8.5758,2003,23
Kilmeaden,52.2462,-7.245,2003,12
Kilmoganny,52.4609,-7.3293,2003,2
Kilmore Quay,52.1787,-6.5837,2003,11
Kilnaleck,53.8585,-7.3179,2003,16
Kilrickle,53.2302,-8.4524,2003,14
Kilrush,52.6411,-9.4811,2003,41
Kilsheelan,52.3615,-7.5798,2003,5
Kiltimagh,53.8461,-9.0058,2003,33
Kiltormer,53.2376,-8.2713,2003,1
Kilworth,52.1763,-8.2496,2003,14
Kingscourt,53.9043,-6.8068,2003,38
Kinlough,54.4458,-8.287,2003,23
Kinnegad,53.4559,-7.1028,2003,58
Kinnitty,53.0984,-7.7221,2003,5
Kinsale,51.7063,-8.5255,2003,120
Kinvara,53.1405,-8.9397,2003,19
Knock,53.7954,-8.9188,2003,25
Knocknagoshel,52.3307,-9.3853,2003,9
Lanesboro,53.67100000000001,-7.9853,2003,28
Laytown,53.6892,-6.244,2003,98
Leach Seoirse,53.3571,-8.9313,2003,21
Leamybrien,52.1693,-7.5216,2003,15
Leitir Mor,53.2943,-9.6551,2003,10
Leixlip,53.3674,-6.4982,2003,235
Letterfrack,53.5542,-9.9477,2003,7
Letterkenny,54.9547,-7.7364,2003,394
Lifford,54.8328,-7.4803,2003,32
Liscarroll,52.2596,-8.8063,2003,4
Lisdoonvarna,53.0286,-9.2897,2003,22
Lismore,52.1367,-7.9355,2003,26
Lissycasey,52.7461,-9.1544,2003,5
Listowel,52.4471,-9.4839,2003,104
Littleton,52.6407,-7.7349,2003,14
Lixnaw,52.4041,-9.6166,2003,11
Longford,53.7325,-7.8014,2003,278
Longwood,53.4546,-6.9270000000000005,2003,1
Lorrha,53.0937,-8.1221,2003,11
Loughrea,53.1974,-8.5699,2003,124
Louisburgh,53.7646,-9.8076,2003,7
Louth,53.9524,-6.5379,2003,12
Lucan,53.3561,-6.4507,2003,798
Lusk,53.5234,-6.1673,2003,110
Macroom,51.9063,-8.964,2003,40
Maigh Cuilinn,53.3383,-9.1812,2003,28
Malahide,53.4512,-6.1519,2003,441
Mallow,52.1388,-8.6459,2003,192
Manorhamilton,54.3044,-8.1785,2003,47
Mayfield,51.9097,-8.429,2003,162
Maynooth,53.3808,-6.5927,2003,274
Mayorstone Park,52.6737,-8.6448,2003,513
Midleton,51.9167,-8.1735,2003,111
Milford Co Cork,52.3425,-8.8564,2003,4
Milford,55.086999999999996,-7.6982,2003,18
Millstreet Co. Cork,52.0601,-9.0615,2003,25
Milltown,53.6116,-8.8975,2003,3
Miltown Malbay,52.8575,-9.4006,2003,32
Mitchelstown,52.2636,-8.2706,2003,69
Moate,53.3957,-7.7345,2003,29
Mohill,53.9208,-7.8681,2003,28
Monaghan,54.2514,-6.9675,2003,210
Monasterevin,53.1382,-7.0547,2003,60
Moneygall,52.8813,-7.9534,2003,5
Monivea,53.373999999999995,-8.7023,2003,0
Mooncoin,52.292,-7.2516,2003,11
Mountbellew,53.4712,-8.5001,2003,13
Mountcharles,54.6459,-8.1957,2003,12
Mountjoy,53.3605,-6.2668,2003,1067
Mountmellick,53.1188,-7.3351,2003,41
Mountrath,52.9982,-7.4781,2003,45
Moville,55.1916,-7.0286,2003,34
Moylough,53.4877,-8.567,2003,5
Moyne,52.7343,-7.7141,2003,4
Muff,55.0686,-7.2688,2003,36
Muine Bheag,52.7013,-6.9574,2003,34
Mullagh,53.8111,-6.9432,2003,15
Mullinahone,52.5102,-7.5056,2003,4
Mullinavat,52.3664,-7.1721,2003,11
Mullingar,53.5257,-7.346,2003,437
Multyfarnham,53.6242,-7.3923,2003,12
Murroe,52.6497,-8.3992,2003,2
Myshall,52.6875,-6.7784,2003,0
Na Cealla Beaga,54.6366,-8.4444,2003,28
Na Gleannta,54.7955,-8.281,2003,13
Naas,53.2107,-6.666,2003,624
Navan,53.6545,-6.6904,2003,352
Nenagh,52.8643,-8.1996,2003,129
New Ross,52.3876,-6.9508,2003,118
Newbridge,53.1814,-6.7955,2003,251
Newcastle West,52.4537,-9.0624,2003,94
Newmarket,52.2146,-8.997,2003,18
Newmarket on Fergus,52.7632,-8.8991,2003,26
Newport Co Mayo,53.8902,-9.5467,2003,12
Newport Co Tipperary,52.7107,-8.4063,2003,21
Newtowncunningham,54.9976,-7.5078,2003,21
Newtownmountkennedy,53.0969,-6.1094,2003,55
Nobber,53.821000000000005,-6.7466,2003,12
Oldcastle,53.7693,-7.1619,2003,43
Omeath,54.0865,-6.2563,2003,26
Oola,52.53,-8.2597,2003,7
Oughterard,53.4274,-9.3245,2003,22
Oulart,52.5033,-6.3913,2003,14
Oylegate,52.4241,-6.5296,2003,5
Pallasgreen,52.5687,-8.3382,2003,10
Pallaskenry,52.6405,-8.8665,2003,24
Partry,53.6987,-9.2796,2003,9
Passage East,52.2392,-6.9728,2003,5
Passage West,51.8652,-8.3317,2003,37
Patrickswell,52.5958,-8.7129,2003,22
Pearse Street,53.3457,-6.2563,2003,5301
Pettigo,54.5482,-7.8349,2003,3
Piltown,52.3498,-7.3255,2003,5
Portarlington,53.1592,-7.1878,2003,67
Portlaoise,53.0317,-7.3031,2003,487
Portlaw,52.2863,-7.3176,2003,9
Portmagee,51.8852,-10.3618,2003,4
Portroe,52.8819,-8.3537,2003,9
Portumna,53.09,-8.2204,2003,53
Raheny,53.379,-6.178,2003,389
Ramelton,55.0367,-7.6507,2003,10
Raphoe,54.8744,-7.5944,2003,35
Rathangan,53.2221,-6.9975,2003,30
Rathcoole,53.2818,-6.4647,2003,236
Rathcormac Co Cork,52.0761,-8.2843,2003,19
Rathdowney,52.8567,-7.5978,2003,22
Rathdrum,52.931000000000004,-6.2265,2003,86
Rathfarnham,53.2974,-6.2881,2003,883
Rathgormack,52.3075,-7.5038,2003,1
Rathkeale,52.5234,-8.939,2003,21
Rathmines,53.3213,-6.267,2003,832
Rathmore Co Kerry,52.0843,-9.2142,2003,20
Rathmullen,55.0958,-7.5326,2003,4
Rathvilly,52.8804,-6.6954,2003,15
Rhode,53.3511,-7.1948,2003,20
Riverstown,54.1296,-8.4,2003,11
Robertstown,53.2702,-6.8164,2003,33
Rochfortbridge,53.4133,-7.3018,2003,26
Rockcorry,54.1202,-7.0094,2003,2
Ronanstown,53.3379,-6.406000000000001,2003,938
Roosky,53.8329,-7.9228,2003,15
Ros Muc,53.3864,-9.6099,2003,2
Roscommon,53.6298,-8.1936,2003,137
Roscrea,52.9562,-7.7988,2003,106
Rosscarbery,51.5776,-9.0315,2003,8
Rosses Point,54.3054,-8.5465,2003,15
Rosslare Harbour,52.2487,-6.3341,2003,38
Rosslare Strand,52.2696,-6.3848,2003,33
Roundwood,53.063,-6.2247,2003,39
Roxboro Road,52.6508,-8.615,2003,1018
Santry,53.3897,-6.2516,2003,891
Scariff,52.9068,-8.5348,2003,20
Schull,51.5287,-9.5414,2003,37
Scotstown,54.2803,-7.0636,2003,8
Shankill,53.2335,-6.121,2003,264
Shannon,52.7079,-8.8772,2003,192
Shercock,53.9922,-6.9008,2003,10
Shevry,52.6869,-8.0471,2003,6
Shillelagh,52.7546,-6.5375,2003,19
Shinrone,52.9847,-7.9341,2003,11
Shrule,53.5199,-9.0876,2003,2
Sixmilebridge,52.7401,-8.7779,2003,28
Skerries,53.5796,-6.107,2003,75
Skibbereen,51.5486,-9.2641,2003,54
Skreen,54.2446,-8.7204,2003,4
Slane,53.7097,-6.5475,2003,27
Sligo,54.2693,-8.4713,2003,685
Smear,53.8606,-7.6017,2003,8
Sneem,51.8389,-9.904,2003,11
Sraith Salach,53.4653,-9.7214,2003,1
Stoneyford,52.5364,-7.2286,2003,5
Store Street,53.3505,-6.2522,2003,5273
Stradbally Co Laois,53.0177,-7.1516,2003,20
Strokestown,53.7808,-8.1038,2003,9
Stuake,51.9905,-8.7604,2003,5
Summerhill,53.482,-6.7334,2003,25
Sundrive Road,53.3302,-6.2987,2003,596
Swanlinbar,54.1961,-7.7038,2003,4
Swinford,53.9406,-8.9522,2003,20
Swords,53.456,-6.2211,2003,758
Taghmon,52.321999999999996,-6.6517,2003,13
Tallaght,53.2868,-6.3678,2003,1802
Tallow,52.0937,-8.0073,2003,10
Tarbert,52.5727,-9.3754,2003,8
Tarelton,51.8385,-8.9929,2003,5
Taughmaconnell,53.4032,-8.141,2003,2
Templederry,52.7741,-8.075,2003,2
Templemore,52.7966,-7.8351,2003,56
Templetuohy,52.7903,-7.7201,2003,10
Terenure,53.3098,-6.287999999999999,2003,479
Thomastown,52.528999999999996,-7.14,2003,21
Thurles,52.6757,-7.8119,2003,206
Timoleague,51.6427,-8.7663,2003,7
Tinahely,52.7967,-6.4693,2003,12
Tipperary,52.4761,-8.1629,2003,96
Togher,51.8764,-8.4863,2003,297
Toomevara,52.8497,-8.0365,2003,11
Tralee,52.2695,-9.7088,2003,518
Tramore,52.1615,-7.1534,2003,155
Trim,53.5531,-6.7893,2003,98
Tuam,53.5157,-8.8559,2003,136
Tubbercurry,54.0516,-8.7343,2003,18
Tulla,52.8654,-8.7548,2003,12
Tullamore,53.2761,-7.4949,2003,342
Tullow,52.8038,-6.7334,2003,65
Tulsk,53.7774,-8.2518,2003,2
Urlingford,52.7221,-7.5798,2003,21
Virginia,53.8344,-7.0819,2003,27
Watercourse Road,51.9071,-8.4745,2003,554
Waterford,52.2602,-7.1137,2003,1324
Watergrasshill,52.0134,-8.342,2003,26
Westport,53.7991,-9.5194,2003,72
Wexford,52.3355,-6.462000000000001,2003,493
Whitegate,51.8271,-8.2278,2003,6
Wicklow,52.9814,-6.0426,2003,250
Williamstown,53.6771,-8.5784,2003,4
Woodford,53.0476,-8.4001,2003,8
Youghal,51.9481,-7.8428,2003,124
Abbeyfeale,52.3873,-9.29,2004,15
Abbeyleix,52.9127,-7.3438,2004,46
Adare,52.5639,-8.7921,2004,11
Aglish,52.0716,-7.8221,2004,7
Ahascragh,53.3957,-8.3306,2004,4
Ailt an Chorrain,54.9849,-8.4386,2004,7
An Bun Beag,55.0656,-8.2895,2004,16
An Charraig,54.6579,-8.6331,2004,5
An Cheathru Rua,53.2645,-9.6005,2004,12
An Clochan Liath,54.9516,-8.3613,2004,12
An Coirean,51.8311,-10.1742,2004,6
An Craoslach,55.1253,-7.9126,2004,8
An Fál Carrach,55.137,-8.102,2004,20
An Maim,53.5107,-9.5649,2004,8
An Rinn,52.0484,-7.5931,2004,8
An Spideal,53.2454,-9.3056,2004,20
Anglesea Street,51.8958,-8.465,2004,1408
Annascaul,52.1524,-10.0525,2004,3
Aran Mor,53.2721,-8.9319,2004,194
Ard An Rátha,54.7645,-8.4095,2004,10
Ardee,53.8549,-6.5411,2004,42
Ardfert,52.3235,-9.7789,2004,13
Ardfinnan,52.3118,-7.8783,2004,5
Ardmore,51.951,-7.7282,2004,15
Ardnacrusha,52.7077,-8.6131,2004,55
Ardrahan,53.1566,-8.8065,2004,8
Arklow,52.7963,-6.1546,2004,215
Arles,52.891000000000005,-7.0189,2004,15
Arva,53.9254,-7.5838,2004,9
Ashbourne,53.5114,-6.397,2004,203
Ashford,53.0139,-6.1073,2004,71
Askeaton,52.6006,-8.9712,2004,21
Athea,52.4599,-9.2875,2004,4
Athenry,53.2997,-8.7497,2004,32
Athleague,53.5687,-8.2524,2004,7
Athlone,53.4233,-7.9447,2004,428
Athy,52.9902,-6.9882,2004,178
Aughrim,52.856,-6.3268,2004,20
Avoca,52.8588,-6.2129,2004,16
Baile Atha Bui,53.6236,-6.9159,2004,33
Baile an Fheirtéaraigh,52.1659,-10.4062,2004,0
Baile Bhuirne,51.9458,-9.1692,2004,5
Bailieboro,53.9152,-6.9696,2004,35
Balbriggan,53.6143,-6.1912,2004,147
Balla,53.8019,-9.1299,2004,14
Ballaghderreen,53.8999,-8.5846,2004,15
Ballina,54.1129,-9.1604,2004,153
Ballinagh,53.9311,-7.4096,2004,11
Ballinamore,54.0546,-7.797000000000001,2004,9
Ballinasloe,53.3284,-8.2236,2004,118
Ballincollig,51.8882,-8.5903,2004,115
Ballindine,53.6696,-8.9577,2004,7
Ballineen,51.7359,-8.9489,2004,9
Ballingarry,52.4721,-8.8628,2004,13
