HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Adult_weight_grams,Maximum_longevity_yrs,Specimen_origin,Sample_size,Data_quality,Metabolic_rate_W
2602,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Thrichomys,apereoides,Brazilian spiny rat,373.5,7,captivity,small,acceptable,1.153
2136,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Metachirus,nudicaudatus,Brown four-eyed opossum,440,3,captivity,small,acceptable,1.144
2122,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Caluromys,derbianus,Central American woolly opossum,330,8.7,captivity,small,acceptable,1.194
2828,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Cannomys,badius,Lesser bamboo rat,650,4.8,captivity,small,acceptable,0.96
123,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,358.1,29,wild,medium,acceptable,0.0253
2019,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,scapulatus,Little red flying fox,300,15.8,captivity,small,acceptable,1.353
2510,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetus,cricetus,Black-bellied hamster,506.7,3.6,captivity,small,acceptable,1.251
680,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,frugilegus,Rook,453.5,22.9,wild,medium,acceptable,2.6433
2221,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Hemiechinus,auritus,Long-eared hedgehog,342,7.6,captivity,small,acceptable,0.845
3322,Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,picta,Painted turtle,371.8,61,wild,medium,acceptable,0.0236
613,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,atra,Coot,734.3,20.6,wild,medium,acceptable,2.039
1547,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Setifer,setosus,Greater hedgehog tenrec,225,14.1,captivity,medium,acceptable,0.573
2263,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,auratus,Golden bandicoot,485,6.7,captivity,tiny,acceptable,0.837
471,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,rusticola,Eurasian woodcock,308.3,15.5,wild,medium,acceptable,2.16
2898,Animalia,Chordata,Reptilia,Rhynchocephalia,Sphenodontidae,Sphenodon,punctatus,Tuatara,430,90,captivity,medium,acceptable,0.0605
403,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,canus,Mew gull,430.6,33.7,wild,medium,acceptable,2.257
2500,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla,lanigera,Long-tailed chinchilla,642.5,17.2,captivity,large,acceptable,1.31
2120,Animalia,Chordata,Mammalia,Dasyuromorphia,Myrmecobiidae,Myrmecobius,fasciatus,Numbat,471.5,11,captivity,small,acceptable,0.907
404,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,delawarensis,Ring-billed gull,518.5,31.8,wild,medium,acceptable,2.91742
2796,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,Eastern gray squirrel,533,23.6,captivity,small,acceptable,2.062
513,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leucosarcia,melanoleuca,Wonga pigeon,429,16.3,captivity,tiny,acceptable,1.695
251,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Wood duck,452.8,22.5,wild,large,acceptable,2.247
385,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,ostralegus,Eurasian oystercatcher,480,43.3,wild,medium,acceptable,2.91
2214,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Atelerix,albiventris,Four-toed hedgehog,500,11.4,captivity,large,high,0.828
2222,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Paraechinus,aethiopicus,Desert hedgehog,188,6.3,captivity,small,acceptable,0.63
3200,Animalia,Chordata,Reptilia,Squamata,Scincidae,Tiliqua,scincoides,Australian blue-tongued lizard,493,26.6,captivity,large,acceptable,0.2127
2601,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,semispinosus,Spiny rat,500,5.8,captivity,small,acceptable,1.75
588,Animalia,Chordata,Aves,Galliformes,Phasianidae,Perdix,perdix,Grey partridge,492,5.2,wild,medium,acceptable,2.1783
677,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,corone,Carrion crow,472.7,19.2,wild,medium,acceptable,3.3531
1798,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Galerella,sanguinea,Slender mongoose,500,12.6,captivity,small,acceptable,2.202
2011,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,hypomelanus,Variable flying fox,450,20.3,captivity,medium,acceptable,1.618
2827,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus,inauris,South African ground squirrel,588,11.5,captivity,small,acceptable,1.775
256,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,clypeata,Northern shoveler,613,22.6,wild,medium,acceptable,3.9209
2010,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,Indian flying fox,1175,40,captivity,large,high,1.622
582,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,lagopus,Willow ptarmigan,595.875,9,wild,small,acceptable,2.872
1357,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,occidentalis,Spotted owl,588.7,25,captivity,small,acceptable,2.675
2095,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,hallucatus,Northern quoll,525,5.9,captivity,small,acceptable,1.501
2015,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,poliocephalus,Gray-headed flying fox,675,23.6,captivity,medium,acceptable,1.768
1045,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,American bittern,706,8.3,wild,small,acceptable,2.7412
2786,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Poliocitellus,franklinii,Franklin's ground squirrel,459,7.2,captivity,small,acceptable,2.19
1803,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,javanicus,Javan mongoose,800,16.6,captivity,small,acceptable,2.248
1819,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,putorius,Eastern spotted skunk,600,10.5,captivity,small,acceptable,1.674
2493,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,porcellus,Guinea pig,728,12,captivity,large,high,2.13
679,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,cryptoleucus,Chihuahuan raven,534,21.8,wild,small,acceptable,3.86705
570,Animalia,Chordata,Aves,Galliformes,Phasianidae,Bonasa,umbellus,Ruffed grouse,532,11,unknown,medium,acceptable,2.3894
2268,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,nasuta,Long-nosed bandicoot,859,5.6,captivity,small,acceptable,1.763
1548,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,Tenrec,900,8.7,captivity,small,acceptable,0.729
240,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,apivorus,Western honey-buzzard,758,29,wild,medium,acceptable,2.36428
207,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered hawk,607,22.4,wild,medium,acceptable,2.11
1854,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Neovison,vison,American mink,925,11.4,captivity,small,acceptable,2.722
2237,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,audubonii,Audubon's cottontail rabbit,900,7.8,captivity,small,acceptable,2.506
2267,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,gunnii,Eastern barred bandicoot,766,6.1,captivity,medium,acceptable,1.902
2265,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,obesulus,Southern brown bandicoot,700,6.5,captivity,small,acceptable,1.238
262,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,penelope,Eurasian wigeon,660,35.2,wild,medium,acceptable,2.8538
2141,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Philander,opossum,Gray four-eyed opossum,450,4.4,captivity,small,acceptable,1.886
412,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,occidentalis,Western gull,931.5,33.9,wild,medium,acceptable,3.43629
1212,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,galerita,Sulphur-crested cockatoo,800,57,captivity,large,acceptable,3.419
2499,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Kerodon,rupestris,Rock cavy,950,12.9,captivity,medium,acceptable,2.011
2131,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,Lutrine opossum,370,2.9,captivity,small,acceptable,2.265
2219,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,concolor,Eastern European hedgehog,719,7,captivity,tiny,acceptable,1.937
2343,Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,sciureus,South American squirrel monkey,925,30.2,captivity,large,high,4.429
1810,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Suricata,suricatta,Meerkat,776,20.6,captivity,large,high,1.729
2209,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudocheirus,peregrinus,Ring-tailed possum,850,10.1,captivity,medium,acceptable,2.27
2262,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Echymipera,rufescens,Long-nosed echymipera,1250,3.1,captivity,small,acceptable,2.255
2674,Animalia,Chordata,Mammalia,Rodentia,Muridae,Hydromys,chrysogaster,Golden-bellied water rat,850,7.3,captivity,medium,acceptable,2.97
265,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rubripes,American black duck,998.7,26.6,wild,large,acceptable,3.6076
2584,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Myoprocta,acouchy,Red acouchi,775,14.8,captivity,small,acceptable,2.804
2300,Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,trivirgatus,Northern night monkey,800,30.1,captivity,medium,acceptable,2.499
1838,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,martes,European pine marten,1300,18.2,captivity,small,acceptable,4
2125,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Chironectes,minimus,Water opossum (yapok),700,3.1,captivity,small,acceptable,2.793
2097,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,viverrinus,Eastern quoll,1090,6.8,captivity,small,acceptable,2.26
366,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,aalge,Common murre,992,42.8,wild,large,acceptable,6.8224
1835,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,americana,American marten,884,17.8,captivity,tiny,acceptable,3.579
2458,Animalia,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,potto,Potto,919.9,32.4,captivity,small,acceptable,1.942
367,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,lomvia,Thick-billed murre,964,29,wild,medium,acceptable,6.8224
2419,Animalia,Chordata,Mammalia,Primates,Galagidae,Otolemur,crassicaudatus,Greater galago,1094.5,22.7,captivity,medium,acceptable,2.595
400,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,argentatus,Herring gull,1094,49,unknown,medium,acceptable,4.817
1774,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leptailurus,serval,Serval,13350,22.4,captivity,large,high,1.44
2203,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Bettongia,penicillata,Woylie,1500,18.8,captivity,medium,acceptable,3.132
263,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard,1048.1,29.1,unknown,medium,acceptable,4.068
2020,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,vampyrus,Large flying fox,872,20.9,captivity,medium,acceptable,4.486
2257,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,Duck-billed platypus,1250,22.6,captivity,small,acceptable,1.931
1363,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,anhinga,Anhinga,1080,16.4,captivity,tiny,acceptable,3.2258
2206,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Potorous,tridactylus,Long-nosed potoroo,1430,14.5,captivity,medium,acceptable,2.556
2877,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,American alligator,150000,77,captivity,large,high,0.1539
2073,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Chaetophractus,vellerosus,Screaming hairy armadillo,840,16.2,captivity,small,acceptable,1.707
2759,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,ludovicianus,Black-tailed prairie dog,1125,11,captivity,large,high,2.358
2456,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,coucang,Slow loris,890.5,25.8,captivity,medium,acceptable,1.504
577,Animalia,Chordata,Aves,Galliformes,Phasianidae,Dendragapus,obscurus,Blue grouse,1058.5,14,wild,medium,acceptable,4.957
1754,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,zerda,Fennec,1250,16.3,captivity,medium,acceptable,2.693
1898,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,Crab-eating raccoon,6270,19,captivity,small,acceptable,2.588
2080,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Tolypeutes,matacus,Southern three-banded armadillo,1500,36.8,captivity,small,acceptable,1.172
675,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,corax,Common raven,1041.2,69,captivity,medium,acceptable,5.5656
2220,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Western European hedgehog,750,11.7,captivity,medium,acceptable,2.434
2128,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,marsupialis,Southern opossum,1530,4.2,captivity,small,acceptable,3.31
2270,Animalia,Chordata,Mammalia,Peramelemorphia,Thylacomyidae,Macrotis,lagotis,Rabbit-bandicoot or bilby,1300,9.6,captivity,medium,acceptable,2.4
1894,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,sumichrasti,Cacomistle,900,24,captivity,small,acceptable,3.537
1377,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,dactylatra,Masked booby,1739.2,25.5,wild,large,acceptable,5.5209
2420,Animalia,Chordata,Mammalia,Primates,Galagidae,Otolemur,garnettii,Small-eared galago,1300,20,captivity,medium,acceptable,3.927
2094,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,geoffroii,Western quoll,890,6.2,captivity,small,acceptable,2.991
1370,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,Double-crested cormorant,1817,22.5,wild,large,acceptable,5.6096
1347,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,virginianus,Great horned owl,1191.2,29,wild,medium,acceptable,5.2442
2264,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,macrourus,Northern brown bandicoot,1600,6.8,captivity,small,acceptable,3.202
1720,Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,javanicus,Lesser mouse-deer,2850,14,captivity,medium,acceptable,4.883
2733,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys,gambianus,Gambian rat,1500,8.4,captivity,small,acceptable,6.024
1918,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Genetta,tigrina,Large-spotted genet,1820,21.3,captivity,small,acceptable,4.189
2082,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Zaedyus,pichiy,Pichi,1500,12.5,captivity,small,acceptable,2.192
1749,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit fox,2500,15.8,captivity,small,acceptable,4.928
1752,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,velox,Swift fox,2400,15.9,captivity,medium,acceptable,4.948
2096,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,Australian tiger cat,5500,6.8,captivity,small,acceptable,3.142
2197,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,Brush-tailed possum,2395,15.9,captivity,medium,acceptable,3.8
1909,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Arctogalidia,trivirgata,Small-toothed palm civet,2250,16.1,captivity,small,acceptable,3.085
1346,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,scandiacus,Snowy owl,2042.5,28,captivity,small,acceptable,4.2244
2236,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,European rabbit,1800,9,unknown,large,questionable,7.395
1756,Animalia,Chordata,Mammalia,Carnivora,Eupleridae,Fossa,fossana,Malagasy civet,1540,21.4,captivity,small,acceptable,5.02262
2231,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed jackrabbit,4175,11.8,captivity,tiny,acceptable,7.314
2743,Animalia,Chordata,Mammalia,Rodentia,Pedetidae,Pedetes,capensis,Springhare,3500,20,captivity,small,acceptable,4.427
1897,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Potos,flavus,Kinkajou,3000,38.4,captivity,medium,acceptable,4.294
2442,Animalia,Chordata,Mammalia,Primates,Lemuridae,Eulemur,fulvus,Brown lemur,2485,35.5,captivity,medium,acceptable,4.239
338,Animalia,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,australis,Brown kiwi,2600,35,captivity,small,acceptable,4.029
2487,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Geocapromys,brownii,Brown's hutia,1500,13.5,captivity,small,acceptable,4.11
2226,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,capensis,Rock hyrax,3600,14.8,captivity,medium,acceptable,4.954
1128,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,immutabilis,Laysan albatross,3150,65,wild,large,acceptable,7.462
2486,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Capromys,pilorides,Desmarest's hutia,4683.3,13.8,captivity,small,acceptable,3.375
2776,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,monax,Woodchuck,4000,14,captivity,medium,acceptable,3.696
2157,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Lagorchestes,conspicillatus,Spectacled hare-wallaby,3000,8.8,captivity,small,acceptable,4.749
2579,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,leporina,Agouti,3265,17.8,captivity,large,high,8.694
2180,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Setonix,brachyurus,Quokka,3500,13.8,captivity,small,acceptable,4.695
581,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,gallus,Red junglefowl,779.8,30,captivity,large,acceptable,6.005
2200,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Rufous 'rat'-kangaroo,3250,12.8,captivity,tiny,acceptable,5.978
2129,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Virginia opossum,3000,6.6,captivity,medium,acceptable,5.299
222,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,Black-chested buzzard-eagle,2447.5,42,captivity,medium,acceptable,5.1887
2258,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,Short-beaked echidna,3500,49.5,captivity,medium,acceptable,2.327
1823,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Eira,barbara,Tayra,4500,22.3,captivity,medium,acceptable,6.811
197,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,4800,48,captivity,medium,acceptable,4.9929
2369,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Erythrocebus,patas,Patas monkey,7750,28.3,captivity,medium,acceptable,5.958
2234,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,timidus,Mountain hare,4175,18,wild,medium,acceptable,8.443
2603,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,prehensilis,Prehensile-tailed porcupine,3900,26.6,captivity,medium,acceptable,5.123
1921,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,hermaphroditus,Asian palm civet,3100,24.5,captivity,tiny,acceptable,5.534
2440,Animalia,Chordata,Mammalia,Primates,Indriidae,Propithecus,verreauxi,Verreaux's sifaka,5000,31,wild,medium,acceptable,3.738
2076,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Nine-banded armadillo,5500,22.3,captivity,medium,acceptable,4.655
2296,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,tetradactyla,Southern tamandua,4500,19,captivity,medium,acceptable,5.015
2927,Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,constrictor,Boa constrictor,3532,40.4,captivity,large,acceptable,0.3589
1748,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,lagopus,Arctic fox,5200,16.3,captivity,medium,acceptable,7.665
1773,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,wiedii,Margay,3666.7,24,captivity,medium,acceptable,5.227
1895,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed coati,3750,26.4,captivity,medium,acceptable,6.733
1132,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,chrysostoma,Grey-headed albatross,3753,47.2,wild,medium,acceptable,8.5312
2576,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,azarae,Azara's agouti,2650,11.8,captivity,medium,acceptable,10.521
2295,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,mexicana,Northern tamandua,4500,16,captivity,tiny,acceptable,5.124
1896,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,nasua,South american coati,4750,23.7,captivity,large,high,5.591
2293,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,hoffmanni,Hoffmann's two-toed sloth,6250,41,captivity,medium,acceptable,3.891
592,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetrao,urogallus,Western capercaillie,2950,18,captivity,medium,acceptable,11.816
1636,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,monticola,Blue duiker,6250,15.9,captivity,medium,acceptable,10.075
2194,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,maculatus,Spotted cuscus,3500,17,captivity,tiny,acceptable,6.27
1859,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,binotata,African palm civet,1900,21,captivity,tiny,acceptable,5.565
1614,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,kirkii,Kirk's dik-dik,5000,17.3,captivity,medium,acceptable,11.966
2774,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,flaviventris,Yellow-bellied marmot,3500,21.2,captivity,tiny,acceptable,8.626
2074,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Chaetophractus,villosus,Large hairy armadillo,3000,25.2,captivity,medium,acceptable,4.508
1753,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red fox,4131.7,21.3,captivity,medium,acceptable,13.731
2304,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,palliata,Mantled howler monkey,7000,24,captivity,small,acceptable,11.464
2199,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,Koala,9300,22.1,captivity,large,high,5.744
2164,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,eugenii,Tammar wallaby,6500,15.1,captivity,medium,acceptable,7.78
1899,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,lotor,Common raccoon,6000,21,captivity,large,acceptable,10.428
1730,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cerdocyon,thous,Crab-eating fox,6500,12.7,captivity,small,acceptable,8.502
1722,Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,fulgens,Red panda,4325,19,captivity,large,high,4.898
2111,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,Tasmanian devil,6500,13,captivity,medium,acceptable,8.664
2503,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Lagostomus,maximus,Plains viscacha,6000,10.8,captivity,medium,acceptable,10.623
2604,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,dorsatus,North American porcupine,8600,23.4,captivity,medium,acceptable,13.675
2152,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Dendrolagus,matschiei,Matschie's tree kangaroo,7200,26.9,captivity,medium,acceptable,7.96
1729,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,mesomelas,Black-backed jackal,10250,16.7,captivity,medium,acceptable,21.533
1814,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,cristata,Aardwolf,10000,20,captivity,small,acceptable,11.563
1126,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,exulans,Wandering albatross,7046.7,50,wild,medium,acceptable,20.3649
2078,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Euphractus,sexcinctus,Six-banded armadillo,4850,22.1,captivity,medium,acceptable,6.901
