Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,Male,Female,Total,Sex,xcoord,ycoord,Long,Lat
16271U,WATERGRASSHILL N S,WATERGRASSHILL,CO CORK,,,Cork,CATHOLIC,N,N,N,146,134,280,Mixed,176544,84117,-8.34164,52.0087
19331E,SCOIL CHRIOST RI B,CAHERDAVIN,LIMERICK City,,,Limerick,CATHOLIC,N,N,N,280,0,280,Boys,155588,158306,-8.65665,52.6742
19662E,ST MICHAELS NS,DOMINICAN CONVENT,BALLYFERMOT,DUBLIN 10,,Dublin,CATHOLIC,N,Y,N,73,206,279,Mixed,310073,233818,-6.34712,53.3431
20391G,De La Salle National School,Ballyfermot,Dublin 10,,,Dublin,CATHOLIC,N,Y,N,279,0,279,Boys,309664.93,233985.5,-6.35318,53.3447
12014D,ST ANDREWS N S,LUCAN,CO DUBLIN,,,Dublin,CHURCH OF IRELAND,N,N,N,141,138,279,Mixed,303938,235560,-6.43863,53.36
18069M,NAOMH SEOSAMH,MELL,DROGHEDA,CO LOUTH,,Louth,CATHOLIC,N,N,N,149,130,279,Mixed,307742,275636,-6.36772,53.7192
18040L,S N NAOMH PADRAIG,SLANE,CO MEATH,,,Meath,CATHOLIC,N,N,N,144,135,279,Mixed,296591,274685,-6.53689,53.7129
17810G,SN NICOLAIS NAOFA,DUNLUAIN,CO CILL MHANTAIN,,,Wicklow,CATHOLIC,N,N,N,145,134,279,Mixed,287300,201255,-6.69787,53.0548
17583V,S N CNOC AN EIN,INIS,CO CLARE,,,Clare,CATHOLIC,N,N,N,136,142,278,Mixed,137487,178553,-8.9281,52.8543
20336V,Midleton Educate Together School,Market Green,Midleton,Co Cork,,Cork,MULTI DENOMINATIONAL,N,N,N,140,138,278,Mixed,188556,74112,-8.16635,51.9192
15680J,SCOIL AN SPIORAID NAOMH,ROXBOROUGH,BALLYSHEEDY,CO LIMERICK,,Limerick,CATHOLIC,N,N,N,138,140,278,Mixed,157706,150901,-8.62439,52.6078
18059J,BAILIEBORO N S,BAILIEBORO,CO CAVAN,,,Cavan,CATHOLIC,N,N,N,135,142,277,Mixed,267409,296758,-6.974,53.9158
19714U,MHUIRE AR CHNOC HAOINE,KNOCKNAHEENY,CORK,,,Cork,CATHOLIC,N,Y,N,140,137,277,Mixed,165175,72620,-8.50605,51.9048
19396J,NA MAIGHDINE MUIRE GIRL,BALLINTEER,DUBLIN 16,,,Dublin,CATHOLIC,N,N,N,0,277,277,Girls,316258,226354,-6.25702,53.2748
19605P,SCOIL NAIS MHUIRE SOIS,BLAKESTOWN,MULHUDDART,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,140,137,277,Mixed,306415,239765,-6.40002,53.3973
16762Q,S N IDE NAOFA,LOUGHREA,CO GALWAY,,,Galway,CATHOLIC,N,N,N,67,210,277,Mixed,162320,216428,-8.56387,53.197
19279F,S N NAOMH TREASA,CLONTUMPHER,BALLINALEE,CO LONGFORD,,Longford,CATHOLIC,N,Y,N,153,124,277,Mixed,219094,281092,-7.71033,53.779
03633H,SCOIL NÁISIÚNTA BHANTIARNA LOURDES,BUNCLODY,CO WEXFORD,,,Wexford,CATHOLIC,N,Y,N,129,148,277,Mixed,291134,156359,-6.65325,52.6508
16605A,KILRANE N S,KILRANE,CO WEXFORD,,,Wexford,CATHOLIC,N,N,N,131,146,277,Mixed,312568,111170,-6.35185,52.2409
20269J,Scoil Chormaic,c/o Ardgillan Community College,Castlelands,Balbriggan,Co Dublin,Dublin,MULTI DENOMINATIONAL,N,N,N,153,123,276,Mixed,320631,262815,-6.17753,53.6013
20204E,Scoil Mháirtin,Kilworth,CO CORK,,,Cork,CATHOLIC,N,N,N,139,136,275,Mixed,183578,102300,-8.24006,52.1724
01821V,S N RATH MOR,NAAS,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,146,129,275,Mixed,295533,218263,-6.57005,53.2062
17903N,CORR NA MADADH N S,CORR NA MADADH,ATHLONE,CO WESTMEATH,,Westmeath,CATHOLIC,N,N,N,140,135,275,Mixed,206513,242753,-7.90199,53.4348
18494E,ST LOUIS INFANT SCHOOL,PARK ROAD,MONAGHAN,CO MONAGHAN,,Monaghan,CATHOLIC,N,N,N,139,135,274,Mixed,266763,333451,-6.97574,54.2455
18157J,ST RYNAGHS N S,BANAGHER,CO OFFALY,,,Offaly,CATHOLIC,N,N,N,131,143,274,Mixed,201106,215160,-7.98345,53.1869
20421M,Scoil Chróine,An Clochán Liath,Co. Dhún na nGall,,,Donegal,CATHOLIC,N,N,Y,147,126,273,Mixed,177177.57,411322.46,-8.35622,54.9489
19209H,SN AN SPIORAID NAIOMH C,SILLOGUE RD,BALLYMUN,DUBLIN 11,,Dublin,CATHOLIC,N,Y,N,0,273,273,Girls,315058,239755,-6.27014,53.3954
20014W,ST AGNES N S,ARMAGH ROAD,CRUMLIN,DUBLIN 12,,Dublin,CATHOLIC,N,Y,N,80,193,273,Mixed,312854,231206,-6.30631,53.3191
19872P,SCOIL CHAITLIN MAUDE,CNOC MHUIRE,TAMHLACHT,BAILE ATHA CLIATH 24,,Dublin,CATHOLIC,N,Y,N,126,147,273,Mixed,307236,226267,-6.39225,53.2759
19317K,RATHANGAN N S,RATHANGAN,DUNCORMACK,CO WEXFORD,,Wexford,CATHOLIC,N,N,N,153,120,273,Mixed,294581,109873,-6.61548,52.2326
20278K,Newtownmountkennedy Primary School,Newtownmountkennedy,Co. Wicklow,,,Wicklow,CATHOLIC,N,Y,N,145,128,273,Mixed,326283,206015,-6.11484,53.0898
14757N,S N MHAINISTIR CHUINCHE,QUIN,CO CLARE,,,Clare,CATHOLIC,N,N,N,131,141,272,Mixed,142024,174341,-8.86001,52.817
19351K,S N CILL CRIODAIN,LADYSBRIDGE,CASTLEMARTYR,CO CORK,,Cork,CATHOLIC,N,N,N,128,144,272,Mixed,201872,70595,-7.97281,51.8877
17976R,SCOIL ASSAIM B,RAHENY,DUBLIN 5,105,,Dublin,CATHOLIC,N,N,N,272,0,272,Boys,321376,238002,-6.17587,53.3783
20353V,St Coleman's National School,Stradbally,Laois,,Co Laois,Laois,CATHOLIC,N,N,N,141,131,272,Mixed,257460,196244,-7.14377,53.0139
05630L,SCOIL MHICHIL NA BUACHAILLI,SCOIL NA MBRATHAR,PATRICK STREET,TRIM,CO MEATH,Meath,CATHOLIC,N,N,N,268,4,272,Mixed,280125,256366,-6.79096,53.5511
16722E,SCOIL CHOLMCILLE,NAVAN ROAD,KELLS,CO MEATH,,Meath,CATHOLIC,N,N,N,272,0,272,Boys,274653,275511,-6.86892,53.7239
16729S,ST PETER AND PAUL,CLONMEL,CO TIPPERARY,,,Tipperary,CATHOLIC,N,Y,N,272,0,272,Boys,220456,122785,-7.69973,52.3564
20045K,GAELSCOIL CHILL MHANTÁIN,AN CASADH MEIDHREACH,RATH NAOI,CO CILL MHANTÁIN,,Wicklow,INTER DENOMINATIONAL,N,N,N,134,138,272,Mixed,329256,194790,-6.07498,52.9883
04919H,CRATLOE N S,CRATLOE,CO CLARE,,,Clare,CATHOLIC,N,N,N,124,147,271,Mixed,148977,161133,-8.75482,52.699
19924I,HAROLDS CROSS N S,HAROLDS CROSS,DUBLIN 6W,,,Dublin,CATHOLIC,N,Y,N,155,116,271,Mixed,314293,231021,-6.28479,53.3171
19803T,SN SEAMUS NAOFA,BEARNA,CO NA GAILLIMHE,,,Galway,CATHOLIC,N,N,Y,132,139,271,Mixed,123506,223006,-9.14618,53.2519
07183W,ST JOSEPHS GIRLS N.S.,DAVITT ROAD,MOUNTMELLICK,CO LAOIS.,,Laois,CATHOLIC,N,N,N,0,271,271,Girls,245657,207130,-7.3181,53.1128
17737W,OUR LADY QUEEN OF PEACE SCHOOL,JANESBORO,LIMERICK,,,Limerick,CATHOLIC,N,Y,N,135,136,271,Mixed,157950,155445,-8.62136,52.6487
15260K,S N N MAOLMHAODHAGH N,DUNDALK,CO LOUTH,,,Louth,CATHOLIC,N,N,N,129,142,271,Mixed,304447,306953,-6.40697,54.0012
01840C,ST CANICE S CONVENT,ROSBERCON,NEW ROSS,CO WEXFORD,,Wexford,CATHOLIC,N,N,N,145,126,271,Mixed,271336,127819,-6.95188,52.3973
19556F,ST KILLIANS JUNIOR SCHOOL,CASTLEVIEW,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,136,134,270,Mixed,308738,229724,-6.36856,53.3066
04506F,SCOIL NA NGASUR,SCOIL NA NGASUR,UARAN MOR,CO NA GAILLIMHE,,Galway,CATHOLIC,N,N,N,270,0,270,Boys,137907,224140,-8.93065,53.264
19272O,SN NAOMH IOSEF,BALLYBROWN,CLARINA,CO LIMERICK,,Limerick,CATHOLIC,N,N,N,149,121,270,Mixed,150568,154867,-8.73035,52.6428
17913Q,S N MHUIRE,BAILE BEARNA,CO LOCH GORMAN,,,Wexford,CATHOLIC,N,N,N,145,125,270,Mixed,299376,121619,-6.54185,52.3373
12473M,GREENMOUNT MONASTERY NS,SCOIL MUIRE NA NGRAS,GREENMOUNT,CO CORK,,Cork,CATHOLIC,N,Y,N,165,104,269,Mixed,166982,71056,-8.47965,51.8908
08791E,LISSIVIGEEN MXD N S,KILLARNEY,CO KERRY,,,Kerry,CATHOLIC,N,N,N,136,133,269,Mixed,99962,89764,-9.45846,52.0509
02745N,TALLONSTOWN N S,TALLONSTOWN,DUNDALK,CO LOUTH,,Louth,CATHOLIC,N,N,N,143,126,269,Mixed,295337,297638,-6.54877,53.9193
15329U,BUN SCOIL LOUIS NAOFA,CLOUGHVALLEY,CARRICKMACROSS,CO MONAGHAN,,Monaghan,CATHOLIC,N,N,N,0,269,269,Girls,284370,303908,-6.71393,53.9775
17053P,BISHOP FOLEY MEMORIAL SCHOOL,Station Road,Co Carlow,,,Carlow,CATHOLIC,N,N,N,268,0,268,Boys,272512,177195,-6.92377,52.8409
19466E,ST KEVINS GIRLS,KILNAMANAGH,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,0,268,268,Girls,309457,229135,-6.35798,53.3012
19503H,SCOIL CHRONAIN,SRAID MOR,RATH CUIL,CO ATHA CLIATH,,Dublin,CATHOLIC,N,N,N,139,129,268,Mixed,302250,226786,-6.46681,53.2815
18148I,SCOIL BHRIDE MIXED N S,LANN LEIRE,CO LOUTH,,,Louth,CATHOLIC,N,N,N,133,135,268,Mixed,305361,288048,-6.39954,53.8312
15257V,QUIGNAMANGER N S,BALLINA,CO MAYO,,,Mayo,CATHOLIC,N,N,N,147,121,268,Mixed,126147,320879,-9.12992,54.1316
12554M,GREYSTONES 2 N S,GREYSTONES,CO WICKLOW,,,Wicklow,CHURCH OF IRELAND,N,N,N,121,147,268,Mixed,329227,212638,-6.06825,53.1486
19686S,ST MACARTANS CENTRAL,BUNDORAN,CO DONEGAL,,,Donegal,CATHOLIC,N,N,N,133,134,267,Mixed,181791,358628,-8.28092,54.4757
07546J,GOLDENBRIDGE CONVENT,GOLDENBRIDGE,INCHICORE,DUBLIN 8,,Dublin,CATHOLIC,N,Y,N,138,129,267,Mixed,312021,233117,-6.31813,53.3364
17099Q,St Joseph's National School,Horse Hill,Carrickmacross,Co Monaghan,,Monaghan,CATHOLIC,N,N,N,267,0,267,Boys,284442,303618,-6.71291,53.9749
12180U,PRESENTATION PRIMARY SCHOOL,CLONMEL,CO TIPPERARY,,,Tipperary,CATHOLIC,N,N,N,52,215,267,Mixed,219261,121851,-7.71732,52.348
18280I,SCOIL NAOMH IOSEPH,GOREY,CO WEXFORD,,,Wexford,CATHOLIC,N,N,N,267,0,267,Boys,315506,159449,-6.29216,52.674
19890R,NAOMH MAODHOG N.S.,FERNS,CO WEXFORD,,,Wexford,CATHOLIC,N,N,N,142,125,267,Mixed,301827,149838,-6.49729,52.5904
16070K,MOUNTMELLICK BOYS N S,MOUNTMELLICK,CO LAOIS,,,Laois,CATHOLIC,N,N,N,266,0,266,Boys,245646,207140,-7.31826,53.1129
20347D,Portlaoise Educate Together NS,Summerhill/Downs,Stradbally Road,Portlaoise,Co Laois,Laois,MULTI DENOMINATIONAL,N,N,N,147,119,266,Mixed,246937,198529,-7.30023,53.0354
18395C,S N CLUAIN NA CILLE,ATHLONE,CO WESTMEATH,,,Roscommon,CATHOLIC,N,N,N,126,140,266,Mixed,198620,241761,-8.02076,53.426
19698C,ST AIDANS NS,SMITHSTOWN,SHANNON,CO CLARE,,Clare,CATHOLIC,N,N,N,136,129,265,Mixed,141646,162532,-8.86351,52.7108
20042E,SCOIL AN CHROI NAOFA,BALLINASLOE,CO GALWAY,,,Galway,CATHOLIC,N,Y,N,150,115,265,Mixed,184920,231258,-8.22637,53.3314
20079E,FOUR MASTERS NS,KINLOUGH,CO LEITRIM,,,Leitrim,CATHOLIC,N,N,N,140,125,265,Mixed,181302,355312,-8.28825,54.4459
20181S,GAELSCOIL AN RAITHIN,DOORADOYLE ROAD,LIMERICK CITY,,,Limerick,CATHOLIC,N,N,N,119,146,265,Mixed,156313,153864,-8.64534,52.6343
15792U,UPPER GLANMIRE N S,SCOIL NAOMH MICHEAL,UPPER GLANMIRE,WHITES CROSS,CO CORK,Cork,CATHOLIC,N,N,N,152,112,264,Mixed,170449,77690,-8.42985,51.9507
18644U,STRAFFAN N S,STRAFFAN,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,130,134,264,Mixed,292541,230277,-6.61132,53.3147
19204U,CROI RO NAOFA IOSA,FERNBANK,LIMERICK,,,Limerick,CATHOLIC,N,N,N,134,130,264,Mixed,156778,157183,-8.63891,52.6642
19852J,GAELSCOIL UI RIADA,BAILE AN EASPAIG,CO CHORCAI,,,Cork,CATHOLIC,N,N,N,125,138,263,Mixed,164750,69773,-8.51194,51.8792
08393P,S N RATH DUBH,GRENAGH,CO CORK,,,Cork,CATHOLIC,N,N,N,119,144,263,Mixed,159231,84746,-8.59386,52.0134
18045V,S N MUIRE GAN SMAL,CARTOWN,TERMONFECKIN DROGHEDA,CO LOUTH,,Louth,CATHOLIC,N,N,N,134,129,263,Mixed,311518,281366,-6.30848,53.7699
19812U,FOXFORD CENTRAL NS,FOXFORD,CO MAYO,,,Mayo,CATHOLIC,N,N,N,126,137,263,Mixed,127250,303980,-9.109,53.9799
19970P,PORTLAW N.S.,PORTLAW,CO WATERFORD,,,Waterford,CATHOLIC,N,N,N,149,114,263,Mixed,246777,115587,-7.31438,52.2901
19232C,S N BARRA NAOFA CAILINI,BEAUMONT,CORK,,,Cork,CATHOLIC,N,N,N,0,262,262,Girls,170527,70832,-8.42813,51.889
19875V,SAN CARLO SENIOR N S,CONFEY,LEIXLIP,CO KILDARE,,Kildare,CATHOLIC,N,N,N,148,114,262,Mixed,300733,236636,-6.48642,53.3703
07518E,S N CNOC AN MHARCAIGH,CNOC AN MHARCAIGH,LONGFORD,,,Longford,CATHOLIC,N,N,N,140,122,262,Mixed,214242,279162,-7.78403,53.7618
17031F,SHINCHILL N S,SHINCHILL,KILLEIGH,TULLAMORE,CO OFFALY,Offaly,CATHOLIC,N,N,N,141,121,262,Mixed,236831,218516,-7.4486,53.2158
19000E,S N AN SPIORAID NAOMH C,CURRAHEEN RD,BISHOPSTOWN,CORK,,Cork,CATHOLIC,N,N,N,0,261,261,Girls,163682,69681,-8.52744,51.8783
18505G,NAOMH CLAR N S,TOBER CLAR,ATHLONE,CO WESTMEATH,,Westmeath,CATHOLIC,N,N,N,147,114,261,Mixed,209567,249133,-7.85584,53.4921
19159S,ST PAULS G N S,GREENHILLS,KIMMAGE WEST,DUBLIN 12,,Dublin,CATHOLIC,N,N,N,0,260,260,Girls,311416,229980,-6.32831,53.3084
17746A,SCOIL COLMAIN NAOFA,MUCLACH,SCREAGAIN,AN TULACH MHOR,CO UIBH FHAILI,Offaly,CATHOLIC,N,N,N,147,113,260,Mixed,230620,222586,-7.54119,53.2528
18793O,SC NAOMH EOIN LE DIA,PASSAGE ROAD,WATERFORD,,,Waterford,CATHOLIC,N,N,N,0,260,260,Girls,261230,111414,-7.10333,52.2511
18473T,AN CHROI RO NAOFA N S,AUGHRIM,CO WICKLOW,,,Wicklow,CATHOLIC,N,N,N,132,128,260,Mixed,313160,179737,-6.31982,52.8567
20022V,SCOIL NA MBUACHAILLI,"CLOICH NA COILLTE,",CO. CHORCAI.,,,Cork,CATHOLIC,N,N,N,259,0,259,Boys,138298,41230,-8.891,51.6203
19313C,GLENSWILLY N S,NEWMILLS,LETTERKENNY,CO DONEGAL,,Donegal,CATHOLIC,N,N,N,159,100,259,Mixed,209709,409824,-7.84851,54.9359
19007S,EOIN BAISDE C NAOIDH,SEAFIELD ROAD,CLONTARF,DUBLIN 3,,Dublin,CATHOLIC,N,N,N,0,259,259,Girls,319916,236314,-6.19844,53.3634
19395H,SCOIL MOBHI,BOTHAR MOBHI,GLASNAOIN,BAILE ATHA CLIATH 9,,Dublin,CATHOLIC,N,N,N,124,135,259,Mixed,315643,237299,-6.26225,53.3732
19505L,SN OILIBHEIR,BAILE AN BHLACAIGH,CLUAIN SAILEACH,BAILE ATHA CLIATH 15,,Dublin,CATHOLIC,N,N,N,138,121,259,Mixed,306651,238639,-6.39686,53.3871
17845C,SCOIL MHUIRE,Brierhill School,Brierhill,Galway,,Galway,CATHOLIC,N,N,N,138,121,259,Mixed,134759,227539,-8.97853,53.2942
19536W,HOLY FAMILY,HOLY FAMILY NS,BALLOONAGH,TRALEE CO KERRY,,Kerry,CATHOLIC,N,N,N,188,71,259,Mixed,83150,114617,-9.712,52.2709
17064U,SCOIL PADRAIG,BALLYLINAN,CO LAOIS,,,Laois,CATHOLIC,N,N,N,122,137,259,Mixed,264591,188771,-7.03902,52.9459
07054L,CULLENS N S,KNOCKDUFF,BEAL ATHA AN FHEADHA,CO MAYO,,Mayo,CATHOLIC,N,N,N,131,128,259,Mixed,123983,321618,-9.16321,54.1379
18106P,S N NA TRIONOIDE NAOFA,LIOS MUILINN,CROS AN GREALLAIGH,An Uaimh,Co. na Mí,Meath,CATHOLIC,N,N,N,133,126,259,Mixed,292801,262509,-6.59792,53.6042
19545A,CORDUFF N S,CORDUFF,BLANCHARDSTOWN,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,125,133,258,Mixed,308079,239946,-6.37495,53.3986
14590D,AINBHTHIN NAOFA,ROSSCAHILL,CO GALWAY,,,Galway,CATHOLIC,N,N,N,128,130,258,Mixed,117017,238535,-9.24745,53.3905
18135W,SCOIL ANGELA,URSULINE CONVENT,THURLES,CO TIPPERARY,,Tipperary,CATHOLIC,N,N,N,56,202,258,Mixed,212788,158876,-7.8109,52.681
18632N,S N EOIN BOSCO NAI BUAC,NAVAN RD,DUBLIN 7,,,Dublin,CATHOLIC,N,N,N,257,0,257,Boys,312248,236650,-6.31347,53.3681
02872U,St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,,Dublin,CATHOLIC,N,N,N,113,144,257,Mixed,318189,225198,-6.22852,53.264
20310D,Educate Together Carrigaline,Rosemount,Heron's Wood,Carrigaline Co Cork,,Cork,MULTI DENOMINATIONAL,N,N,N,145,110,255,Mixed,173543,63677,-8.38378,51.8249
20302E,Thornleigh Educate Together National School,Thornleigh Green,Applewood Village,Swords,Co. Dublin,Dublin,MULTI DENOMINATIONAL,N,Y,N,143,112,255,Mixed,317333,248344,-6.23275,53.4721
17782E,S N BRIDE NAOFA,SEAN TALLAMH,GAILLIMH,,,Galway,CATHOLIC,N,Y,N,143,112,255,Mixed,128569,225303,-9.07085,53.2733
19653D,SAN CARLO JUNIOR NS,LEIXLIP,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,136,119,255,Mixed,300650,236611,-6.48767,53.3701
19974A,SCOIL EOIN NAOFA,SRAID AN TEAMPAILL,SLIGEACH,,,Sligo,CATHOLIC,N,N,N,170,85,255,Mixed,168984,335461,-8.47608,54.267
19654F,ST FERGALS SENIOR NS,BALLYWALTRIM,BRAY,CO WICKLOW,,Wicklow,CATHOLIC,N,Y,N,137,118,255,Mixed,325435,216870,-6.12324,53.1875
17868O,SCOIL FREASTOGAIL MUIRE,FERMOY,CO CORK,,,Cork,CATHOLIC,N,N,N,72,181,253,Mixed,181300,98124,-8.27313,52.1348
18064C,S N MUIRE,BEALACH GABHRAIN,CO KILKENNY,,,Kilkenny,CATHOLIC,N,N,N,130,123,253,Mixed,262500,153355,-7.07689,52.6279
17969U,S N MHUIRE,AN UAIMH,CO NA MI,,,Meath,CATHOLIC,N,Y,N,131,122,253,Mixed,286591,267930,-6.6902,53.654
20301C,Gaelscoil na gCloch Liath,Blacklion,Greystones,Co. Wicklow,,Wicklow,INTER DENOMINATIONAL,N,N,N,128,125,253,Mixed,328083,212855,-6.08526,53.1508
09161W,OUR LADY OF MERCY N S,BANTRY,CO CORK,,,Cork,CATHOLIC,N,N,N,81,171,252,Mixed,100191,48317,-9.44315,51.6786
20103V,JOHN SCOTTUS NS,NORTHUMBERLAND ROAD,DUBLIN 4,,,Dublin,MULTI DENOMINATIONAL,N,N,N,114,138,252,Mixed,317473,232998,-6.23636,53.3342
17674B,ST ANNES NATIONAL SCHOOL,ARDCLOUGH,STRAFFAN,CO KILDARE,,Kildare,CATHOLIC,N,N,N,124,128,252,Mixed,295535,228376,-6.56698,53.2971
20148U,GAELSCOIL CHALADH AN TREOIGH,CHALADH AN TREOIGH,LUIMNEACH,,,Limerick,CATHOLIC,N,N,N,119,133,252,Mixed,162908,156336,-8.5482,52.657
07246U,SISTERS OF CHARITY N S,RAVENSWELL,BRAY,CO WICKLOW,,Wicklow,CATHOLIC,N,Y,N,90,162,252,Mixed,326166,219184,-6.1114,53.2081
19309L,SCOIL NEASAIN,BAILE HARMAIN,BAILE ATH CLIATH 5,,,Dublin,CATHOLIC,N,N,N,126,125,251,Mixed,320063,238374,-6.19545,53.3819
18099V,S N MUIRE NA TROCAIRE,ARDEE,CO LOUTH,,,Louth,CATHOLIC,N,N,N,0,251,251,Girls,296536,290254,-6.53285,53.8527
20002P,GAELSCOIL AN MHUILINN,AN MUILEANN CEARR,CO NA HIARMHI,,,Westmeath,CATHOLIC,N,N,N,108,143,251,Mixed,242705,253289,-7.35597,53.5278
17313P,OUR LADY OF LOURDES,BALLINLOUGH,CORK,,,Cork,CATHOLIC,N,N,N,0,250,250,Girls,168738,70891,-8.45412,51.8895
19727G,ST MARYS CENTRAL N S,BELMONT AVENUE,DONNYBROOK,DUBLIN 4,,Dublin,CATHOLIC,N,N,N,113,137,250,Mixed,317403,231509,-6.23796,53.3208
12488C,OLDCASTLE MXD N S,CHAPEL ST,OLDCASTLE,CO MEATH,,Meath,CATHOLIC,N,N,N,141,109,250,Mixed,255563,280258,-7.15726,53.7689
20165U,GAELSCOIL MHOSHIOLOG,AN CHRAOBHACH,BOTHAR CHARN AN BHUA,GUAIRE,CO LOCH GARMAN,Wexford,INTER DENOMINATIONAL,N,N,N,117,133,250,Mixed,313963,159439,-6.31496,52.6742
19905E,KILKENNY SCHOOL PROJECT,SPRINGFIELD,WATERFORD ROAD,KILKENNY,,Kilkenny,MULTI DENOMINATIONAL,N,N,N,140,109,249,Mixed,250696,154318,-7.25106,52.6378
20081O,GAELSCOIL PHORT LAOISE,Bóthar Maighéan Rátha,Portlaoise,Co. Laoise,,Laois,CATHOLIC,N,N,N,117,132,249,Mixed,246138,198399,-7.31216,53.0343
20120V,St Tiarnach's Primary School,CLONES,CO MONAGHAN,,,Monaghan,CATHOLIC,N,N,N,121,128,249,Mixed,250417,326396,-7.22767,54.184
17891J,SCOIL MHUIRE,MOUNT SACKVILLE CONVENT,CHAPELIZOD,DUBLIN 20,120,Dublin,CATHOLIC,N,N,N,0,248,248,Girls,309312,235681,-6.3579,53.36
06200O,BOOTERSTOWN BOYS,BOOTERSTOWN,BLACKROCK,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,248,0,248,Boys,320102,230229,-6.19796,53.3087
11361T,FAYTHE CONVENT,ST JOHN OF GODS CONVENT,WEXFORD,,,Wexford,CATHOLIC,N,Y,N,110,138,248,Mixed,305434,121014,-6.45319,52.3307
19943M,ST DAMIENS NS,QUARRY DRIVE,PERRYSTOWN,DUBLIN 12,,Dublin,CATHOLIC,N,N,N,163,84,247,Mixed,311933,230616,-6.32033,53.314
16937C,S N FHURSA,NILE LODGE,GAILLIMHE,,,Galway,CATHOLIC,N,N,N,127,120,247,Mixed,128904,224806,-9.06572,53.2688
16936A,S N NAOMH PADRAIG,CREAGMORE,BAILE CLAR NA GAILLIMHE,GAILLIMH,,Galway,CATHOLIC,N,N,N,133,114,247,Mixed,141722,232384,-8.875,53.3385
15945T,FIRIES MXD N S,KILLARNEY,CO KERRY,,,Kerry,CATHOLIC,N,N,N,122,125,247,Mixed,90995,103245,-9.59345,52.1704
18677M,SCOIL MATHAIR DE,CUAR BOTHAR THEAS,LUIMNEACH,,,Limerick,CATHOLIC,N,N,N,132,115,247,Mixed,156843,155838,-8.63777,52.6521
17480L,S N BAILE CHEANT,BAILE CHEANT,AN UAIMH,CO NA MI,,Meath,CATHOLIC,N,N,N,133,114,247,Mixed,297684,265804,-6.52313,53.6329
19534S,BALLYBAY CENTRAL,KILTOOM,ATHLONE,CO ROSCOMMON,,Roscommon,CATHOLIC,N,N,N,115,132,247,Mixed,199532,246025,-8.00705,53.4643
19242F,OUR LADY OF VICTORIES INFANT N S,BALLYMUN ROAD,DUBLIN 9,,,Dublin,CATHOLIC,N,Y,N,122,124,246,Mixed,315376,238991,-6.26564,53.3885
19725C,GAELSCOIL EANNA,BR. ATH THROIM,AN UAIMH,CO NA MIDHE,,Meath,CATHOLIC,N,N,N,132,114,246,Mixed,287209,266829,-6.68117,53.644
19779C,GAELSCOIL NA CILLE,CILL DHEAGLAIN,ASHBOURNE,CO MEATH,,Meath,CATHOLIC,N,N,N,138,108,246,Mixed,307082,251731,-6.38593,53.5047
16786H,ST BRIGIDS PRIMARY SCHOOL,THE COOMBE,DUBLIN 8,108,,Dublin,CATHOLIC,N,Y,N,65,180,245,Mixed,314956,233419,-6.27397,53.3385
19723V,QUEEN OF ANGELS PRIMARY SCHOOL,WEDGEWOOD,DUNDRUM,DUBLIN 16,,Dublin,CATHOLIC,N,Y,N,127,118,245,Mixed,318385,226551,-6.22508,53.2761
19965W,SCOIL MHUIRE,CLARINBRIDGE,CO GALWAY,,,Galway,CATHOLIC,N,N,N,129,116,245,Mixed,141382,219833,-8.87779,53.2257
17124M,ARDEE MONASTERY,ARDEE,CO LOUTH,,,Louth,CATHOLIC,N,N,N,245,0,245,Boys,296291,290158,-6.5366,53.8519
15555G,BREAFY N S,BALLINA,CO MAYO,,,Mayo,CATHOLIC,N,N,N,116,129,245,Mixed,127708,315703,-9.10481,54.0853
19231A,S N BARRA NAOFA BHUACH,BEAUMOUNT,CORK,,,Cork,CATHOLIC,N,N,N,244,0,244,Boys,170553,70785,-8.42775,51.8886
13889C,SHANBALLY N S,RINN SCIDE,CO CORK,,,Cork,CATHOLIC,N,N,N,134,110,244,Mixed,175655,64347,-8.35319,51.831
16940O,DUNDAR MHUIGHE N S,KINSALE,CO CORK,,,Cork,CATHOLIC,N,N,N,129,115,244,Mixed,159020,52888,-8.59316,51.727
17730I,S N NA LANAI GLASA,SEAFIELD AVENUE,CLONTARF,DUBLIN 3,103,Dublin,CHURCH OF IRELAND,N,N,N,131,113,244,Mixed,320574,236524,-6.18848,53.3652
20064O,OUR LADY OF CONSOLATION NS,COLLINS AVE EAST,DONNYCARNEY,DUBLIN 5,,Dublin,CATHOLIC,N,Y,N,91,153,244,Mixed,318725,237478,-6.21589,53.3741
19400U,SN GLEN NA GCAORACH,WYVERN,KILLINEY RD,KILLINEY,CO DUBLIN,Dublin,CHURCH OF IRELAND,N,N,N,123,121,244,Mixed,325760,225972,-6.1148,53.2692
