Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,Male,Female,Total,Sex,xcoord,ycoord,Long,Lat
18413B,S N NAOMH TREASA,BELLEWSTOWN,DROGHEDA,CO LOUTH,,Meath,CATHOLIC,N,N,N,57,47,104,Mixed,308995,267183,-6.35172,53.6431
20191V,ST PETERS  NATIONAL SCHOOL,"St Peters NS, COI",Maynooth Rd,Dunboyne,Meath,Meath,CHURCH OF IRELAND,N,N,N,67,37,104,Mixed,301237,241991,-6.47713,53.4183
15325M,CLONBULLOGUE N S,CLONBULLOGUE,CO OFFALY,,,Offaly,CATHOLIC,N,N,N,58,46,104,Mixed,261024,223950,-7.0854,53.2624
04487E,S N NAITHI NAOFA,ACHONRY,TUBBERCURRY,CO SLIGO,,Sligo,CATHOLIC,N,N,N,55,49,104,Mixed,156841,314608,-8.65947,54.0787
14568K,KILLEA BOYS N S,DUNMORE EAST,CO WATERFORD,,,Waterford,CATHOLIC,N,N,N,104,0,104,Boys,268097,101910,-7.00469,52.1649
17133N,S N AN BAILE NUA,CILL MHIC THOMAIS FHINN,CO WATERFORD,,,Waterford,CATHOLIC,N,N,N,54,50,104,Mixed,241753,107876,-7.38897,52.2212
18048E,S N NAOMH DEAGLAN,ARD MOR,CO PORTLAIRGE,,,Waterford,CATHOLIC,N,N,N,52,52,104,Mixed,218527,77654,-7.7305,51.9508
15354T,CAMOLIN N S,CAMOLIN,ENNISCORTY,CO WEXFORD,,Wexford,CATHOLIC,N,N,N,61,43,104,Mixed,306641,152676,-6.42536,52.6149
16087E,KEALKIL N S,BANTRY,CO CORK,,,Cork,CATHOLIC,N,N,N,47,56,103,Mixed,104894,55992,-9.37727,51.7483
19538D,ST KEVINS JUNIOR N S,NEWBROOK AVE,DONAGHMEDE,DUBLIN 13,,Dublin,CATHOLIC,N,N,N,53,50,103,Mixed,322589,240047,-6.15686,53.3963
13415D,SN TUAIRINI,MAIGH CUILLIN,CO NA GAILLIMHE,,,Galway,CATHOLIC,N,N,Y,54,49,103,Mixed,123186,229116,-9.15245,53.3068
14031N,CARNAIN N.S.,ATHENRY,CO GALWAY,,,Galway,CATHOLIC,N,N,N,52,51,103,Mixed,147431,231622,-8.78916,53.3322
17934B,SCOIL BHRIDE,AN CNOC BHREAC,BEAL ATHA NA SLUAIGH,CO NA GAILLIMHE,,Galway,CATHOLIC,N,N,N,55,48,103,Mixed,167461,227950,-8.48811,53.3009
19354Q,ST COLMANS N S,CAPPAGH,CROGHAN,TULLAMORE,CO OFFALY,Offaly,CATHOLIC,N,N,N,59,44,103,Mixed,242192,230745,-7.36672,53.3253
17595F,CILL COSCAIN,THE WARD,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,53,49,102,Mixed,309986,247209,-6.34376,53.4634
18173H,S N BRIOTAS,BRITTAS,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,55,47,102,Mixed,303390,221610,-6.4514,53.2348
06044D,S N CILL CUILE,LOUGHREA,CO GALWAY,,,Galway,CATHOLIC,N,N,N,45,57,102,Mixed,169539,216796,-8.45588,53.2008
15475I,KILCONLY N S,KILCONLY,TUAM,CO GALWAY,,Galway,CATHOLIC,N,N,N,50,52,102,Mixed,135286,258568,-8.977,53.573
17647V,MUIRE NA DEA COMHAIRLE,HEADFORD,CO GALWAY,,,Galway,CATHOLIC,N,N,N,39,63,102,Mixed,126306,247120,-9.10985,53.469
17358O,S N NAOMH EIRC,ARD FEARTA,CO KERRY,,,Kerry,CATHOLIC,N,N,N,50,52,102,Mixed,80131,125595,-9.76012,52.3689
19745I,SCARTAGLIN NEW CENT SC,SCAIRTEACH A GHLINNE,CILL AIRNE,CO CHIARRAI,,Kerry,CATHOLIC,N,N,N,55,47,102,Mixed,103783,103842,-9.40675,52.1781
18031K,S N BRIDE,CROCHTA GREINE,CURRACH,CO CILL DARA,,Kildare,CATHOLIC,N,N,N,52,50,102,Mixed,276468,207104,-6.85801,53.1091
14187V,SEANAN B N S,CILL MOCHUA,PORTLAIRGE,CO WATERFORD,,Kilkenny,CATHOLIC,N,N,N,102,0,102,Boys,256337,118819,-7.17373,52.3182
16667W,TOBAR AN LEINN,RAHEEN,MOUNTRATH,CO LAOIS,,Laois,CATHOLIC,N,N,N,47,55,102,Mixed,242381,190683,-7.36918,52.9653
16774A,SCOIL NAIS AN OBAIR,NOBBER,CO MEATH,,,Meath,CATHOLIC,N,N,N,46,56,102,Mixed,282588,286612,-6.74575,53.8224
18500T,S N NAOMH COLMCILLE,CNOC HANOBHAR,DROGHEDA,CO LOUTH,,Meath,CATHOLIC,N,N,N,58,44,102,Mixed,307551,270656,-6.37234,53.6745
02413L,S N NAOMH EOIN,AN RATH,BIRR,CO OFFALY,,Offaly,CATHOLIC,N,N,N,40,62,102,Mixed,212946,209696,-7.80654,53.1377
17069H,S N MUIRE NAOFA,POLLACH,RAHAN,TULLAMORE,CO OFFALY,Offaly,CATHOLIC,N,Y,N,61,41,102,Mixed,219220,225238,-7.71184,53.2771
01395H,AGLISH N S,CAPPOQUIN,CO WATERFORD,,,Waterford,CATHOLIC,N,N,N,56,46,102,Mixed,212182,91221,-7.82231,52.0729
20333P,Wexford Educate Together National School,Whitemill,Clonard,Wexford,,Wexford,MULTI DENOMINATIONAL,N,N,N,54,48,102,Mixed,303151,120678,-6.48677,52.3281
19551S,INCHICRONAN CENTRAL NS,CRUSHEEN,CO CLARE,,,Clare,CATHOLIC,N,N,N,52,49,101,Mixed,139943,187584,-8.89331,52.9358
15701O,BARTLEMY N S,RATHCORMAC,FERMOY,CO CORK,,Cork,CATHOLIC,N,N,N,56,45,101,Mixed,181855,88337,-8.26451,52.0468
19310T,SCOIL NAOMH EARNAN,BAILE AN TSRATHA,CO DONEGAL,,,Donegal,CATHOLIC,N,Y,N,62,39,101,Mixed,192311,370639,-8.11894,54.5839
17603B,SCOIL IOSAGAIN,AUGHAVANNAGH ROAD,CRUMLIN,DUBLIN 12,112,Dublin,CATHOLIC,N,Y,N,101,0,101,Boys,314154,232427,-6.28637,53.3298
18843D,BAINRION NA N-AINGAL 2,BALLYFERMOT UPPER,DUBLIN 10,,,Dublin,CATHOLIC,N,Y,N,101,0,101,Boys,309148,234143,-6.36089,53.3463
16857E,S N NAOMH UINSEANN,COOLARNE,TURLOUGHMORE,ATHENRY,Co GALWAY,Galway,CATHOLIC,N,N,N,51,50,101,Mixed,144459,235530,-8.83446,53.3671
00538V,CLOCHAR DAINGEAN,AN DAINGEAN,CO CHIARRAI,,,Kerry,CATHOLIC,N,N,Y,24,77,101,Mixed,44623,101304,-10.2699,52.1418
17589K,S N CHIARAN NAOFA,STONEYFORD,CO KILKENNY,,,Kilkenny,CATHOLIC,N,N,N,46,55,101,Mixed,252833,142745,-7.22134,52.5336
19944O,GORESBRIDGE N.S.,GORESBRIDGE,CO KILKENNY,,,Kilkenny,CATHOLIC,N,N,N,44,57,101,Mixed,267956,153700,-6.99624,52.6303
12350T,S N NA HAILLE,BALLINROBE,CO MAYO,,,Mayo,CATHOLIC,N,N,N,58,43,101,Mixed,118943,258826,-9.22374,53.5731
09320Q,SCOIL NAIS MHUIRE,DROIMFEIGH,BAGENALSTOWN,CO CARLOW,,Carlow,CATHOLIC,N,N,N,53,47,100,Mixed,278553,156943,-6.83898,52.6581
10724B,SOUTH ABBEY NS,YOUGHAL,CO CORK,,,Cork,CHURCH OF IRELAND,N,N,N,42,58,100,Mixed,210823,77406,-7.84257,51.9488
16683U,BISHOP MURPHY MEMORIAL SCHOOL,FERMOY,CO. CORK.,,,Cork,CATHOLIC,N,N,N,100,0,100,Boys,180905,98383,-8.27892,52.1371
06576N,DROMIN N S,DROMIN,DUNLEER,CO LOUTH,,Louth,CATHOLIC,N,N,N,47,53,100,Mixed,302423,289424,-6.44369,53.8442
17952D,S N NAOMH FHIONAIN,DILLONSTOWN,DUNLEER,CO LOUTH,,Louth,CATHOLIC,N,N,N,54,46,100,Mixed,308762,291633,-6.34663,53.8627
20084U,Gaelscoil na gCeithre Maol,Aonad 3,Páirc Gnó,Bóthar Cill Álla Béal an Átha,Co Mhaigh Eo,Mayo,CATHOLIC,N,Y,N,44,56,100,Mixed,123816,320854,-9.16557,54.131
20382F,Gaelscoil na Mí,c/o Donaghmore Ashbourne GAA,Ashbourne,,Co. Meath,Meath,MULTI DENOMINATIONAL,N,N,N,35,65,100,Mixed,305495.24,252299.53,-6.40964,53.5101
17616K,NAOMH MHUIRE N S,INIS NA MBREATHNACH,GEISILL,CO OFFALY,,Offaly,CATHOLIC,N,N,N,54,46,100,Mixed,252034,220511,-7.22069,53.2325
18690E,SCOIL BHRIDE,AN CRUACHAN,AN TULACH MOR,CO UA BHFAILGHE,,Offaly,CATHOLIC,N,N,N,54,46,100,Mixed,248157,232487,-7.27693,53.3404
20129Q,SCOIL TEAMPALL TOINNE,BALLYPOREEN,CAHIR,CO TIPPERARY,,Tipperary,CATHOLIC,N,N,N,51,49,100,Mixed,193421,113221,-8.09639,52.2708
